file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/core/src/main/java/de/danoeh/antennapod/core/storage/NavDrawerData.java,de.danoeh.antennapod.core.storage.NavDrawerData$TagDrawerItem,getTitle/0,false,69,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/core/src/main/java/de/danoeh/antennapod/core/storage/NavDrawerData.java,de.danoeh.antennapod.core.storage.NavDrawerData$TagDrawerItem,getCounter/0,false,73,1,1,0,1,2,1,7,1,1,0,1,0,0,1,0,0,0,0,1,2,0,1,0,0,0,7,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/core/src/main/java/de/danoeh/antennapod/core/storage/NavDrawerData.java,de.danoeh.antennapod.core.storage.NavDrawerData$TagDrawerItem,TagDrawerItem/1[java.lang.String],true,63,0,1,1,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/app/src/main/java/de/danoeh/antennapod/dialog/SleepTimerDialog.java,de.danoeh.antennapod.dialog.SleepTimerDialog,updateAutoEnableText/0,false,177,1,3,1,2,5,8,19,0,7,0,8,0,0,0,1,0,0,8,4,9,2,1,0,0,0,13,2,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/app/src/main/java/de/danoeh/antennapod/dialog/SleepTimerDialog.java,de.danoeh.antennapod.dialog.SleepTimerDialog,closeKeyboard/1[de.danoeh.antennapod.dialog.View],false,207,2,0,0,0,1,4,4,0,1,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,2,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/app/src/main/java/de/danoeh/antennapod/dialog/SleepTimerDialog.java,de.danoeh.antennapod.dialog.SleepTimerDialog,onCreateDialog/1[de.danoeh.antennapod.dialog.Bundle],false,70,12,5,0,5,9,41,95,2,26,1,41,1,1,0,6,1,0,1,14,19,3,3,0,0,10,67,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/app/src/main/java/de/danoeh/antennapod/dialog/SleepTimerDialog.java,de.danoeh.antennapod.dialog.SleepTimerDialog,timerUpdated/1[de.danoeh.antennapod.dialog.SleepTimerUpdatedEvent],false,201,3,1,0,1,5,6,5,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/app/src/main/java/de/danoeh/antennapod/dialog/SleepTimerDialog.java,de.danoeh.antennapod.dialog.SleepTimerDialog,onStart/0,false,48,1,2,0,2,1,5,10,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/app/src/main/java/de/danoeh/antennapod/dialog/SleepTimerDialog.java,de.danoeh.antennapod.dialog.SleepTimerDialog,"showTimeRangeDialog/3[de.danoeh.antennapod.dialog.Context,int,int]",false,167,2,1,0,1,1,7,10,0,2,3,7,0,0,0,0,0,0,0,0,1,0,1,0,0,1,12,2,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/app/src/main/java/de/danoeh/antennapod/dialog/SleepTimerDialog.java,de.danoeh.antennapod.dialog.SleepTimerDialog,SleepTimerDialog/0,true,43,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/app/src/main/java/de/danoeh/antennapod/dialog/SleepTimerDialog.java,de.danoeh.antennapod.dialog.SleepTimerDialog,onStop/0,false,60,1,1,0,1,2,4,7,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/app/src/main/java/de/danoeh/antennapod/fragment/preferences/ImportExportPreferencesFragment.java,de.danoeh.antennapod.fragment.preferences.ImportExportPreferencesFragment,chooseFavoritesExportPathResult/1[de.danoeh.antennapod.fragment.preferences.ActivityResult],false,235,4,2,0,2,3,3,7,1,1,1,3,1,1,0,2,0,0,0,0,1,0,1,0,0,0,13,2,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/app/src/main/java/de/danoeh/antennapod/fragment/preferences/ImportExportPreferencesFragment.java,de.danoeh.antennapod.fragment.preferences.ImportExportPreferencesFragment,restoreDatabaseResult/1[de.danoeh.antennapod.fragment.preferences.ActivityResult],false,243,2,0,0,0,3,13,12,1,1,1,13,0,0,0,2,0,0,0,0,2,0,1,0,0,2,13,2,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/app/src/main/java/de/danoeh/antennapod/fragment/preferences/ImportExportPreferencesFragment.java,de.danoeh.antennapod.fragment.preferences.ImportExportPreferencesFragment,onStart/0,false,85,1,0,0,0,1,4,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/app/src/main/java/de/danoeh/antennapod/fragment/preferences/ImportExportPreferencesFragment.java,de.danoeh.antennapod.fragment.preferences.ImportExportPreferencesFragment,dateStampFilename/1[java.lang.String],false,98,0,2,2,0,1,2,3,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,2,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/AntennaPod/AntennaPod/app/src/main/java/de/danoeh/antennapod/fragment/preferences/ImportExportPreferencesFragment.java,de.danoeh.antennapod.fragment.preferences.ImportExportPreferencesFragment,showDatabaseImportSuccessDialog/0,false,185,1,0,0,0,1,7,8,0,3,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,2,0,false
