file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/render/immediate/model/ModelCuboid.java,me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid$Quad,innerclass,5,5,0,5,5,1,0,3,0,0.33333334,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,3,0,1,32,1,1,0,0,0,0,14,16,13,8,2,0,0,0,21,9,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/gui/options/storage/MinecraftOptionsStorage.java,me.jellysquid.mods.sodium.client.gui.options.storage.MinecraftOptionsStorage,class,5,7,2,5,3,1,0,5,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,13,1,0,0,0,0,1,0,1,0,1,0,0,0,0,11,1,1
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/model/color/interop/ItemColorsExtended.java,me.jellysquid.mods.sodium.client.model.color.interop.ItemColorsExtended,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/gl/tessellation/GlAbstractTessellation.java,me.jellysquid.mods.sodium.client.gl.tessellation.GlAbstractTessellation,class,6,7,1,6,6,1,1,14,0,0.33333334,0.0,0.0,3,0,1,0,2,0,3,0,0,0,2,0,0,0,2,0,2,0,0,25,1,2,0,0,0,0,0,2,0,2,3,0,0,0,18,1025,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/render/chunk/compile/ChunkBuildOutput.java,me.jellysquid.mods.sodium.client.render.chunk.compile.ChunkBuildOutput,class,5,9,4,5,4,1,0,4,0,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,4,0,0,0,4,0,0,20,1,1,0,0,0,0,0,4,0,4,1,0,0,0,53,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/util/ModelQuadUtil.java,me.jellysquid.mods.sodium.client.util.ModelQuadUtil,class,6,9,3,6,10,1,0,14,6,0.9583333,0.0,0.0,4,4,4,0,0,0,4,0,0,0,2,2,2,0,0,0,2,0,7,59,6,1,2,0,0,0,21,37,21,32,2,0,0,0,119,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/gui/options/control/ControlElement.java,me.jellysquid.mods.sodium.client.gui.options.control.ControlElement,class,10,18,8,10,14,2,0,24,0,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,0,2,0,2,0,2,45,5,0,0,0,2,2,8,8,7,4,2,0,0,0,27,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/model/color/DefaultColorProviders.java,me.jellysquid.mods.sodium.client.model.color.DefaultColorProviders$GrassColorProvider,innerclass,6,6,0,6,2,2,0,1,1,1.0,NaN,NaN,2,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13,9,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/util/collections/WriteQueue.java,me.jellysquid.mods.sodium.client.util.collections.WriteQueue,interface,2,5,3,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/mixin/features/world/biome/GrassColorsAccessor.java,me.jellysquid.mods.sodium.mixin.features.world.biome.GrassColorsAccessor,interface,4,5,1,4,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
