file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/render/immediate/model/ModelCuboid.java,me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid$Quad,"Quad/9[me.jellysquid.mods.sodium.client.render.immediate.model.Vector3f[],float,float,float,float,float,float,boolean,me.jellysquid.mods.sodium.client.render.immediate.model.Direction]",true,109,3,1,1,0,4,2,24,0,5,9,2,0,0,1,0,0,0,0,14,16,13,2,0,0,0,15,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/render/immediate/model/ModelCuboid.java,me.jellysquid.mods.sodium.client.render.immediate.model.ModelCuboid$Quad,getNormal/1[me.jellysquid.mods.sodium.client.render.immediate.model.Matrix3f],false,140,2,2,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/gui/options/storage/MinecraftOptionsStorage.java,me.jellysquid.mods.sodium.client.gui.options.storage.MinecraftOptionsStorage,save/0,false,20,2,2,0,2,1,4,4,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/gui/options/storage/MinecraftOptionsStorage.java,me.jellysquid.mods.sodium.client.gui.options.storage.MinecraftOptionsStorage,MinecraftOptionsStorage/0,true,10,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/gui/options/storage/MinecraftOptionsStorage.java,me.jellysquid.mods.sodium.client.gui.options.storage.MinecraftOptionsStorage,getData/0,false,15,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/model/color/interop/ItemColorsExtended.java,me.jellysquid.mods.sodium.client.model.color.interop.ItemColorsExtended,sodium$getColorProvider/1[me.jellysquid.mods.sodium.client.model.color.interop.ItemStack],false,7,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/gl/tessellation/GlAbstractTessellation.java,me.jellysquid.mods.sodium.client.gl.tessellation.GlAbstractTessellation,getPrimitiveType/0,false,18,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/gl/tessellation/GlAbstractTessellation.java,me.jellysquid.mods.sodium.client.gl.tessellation.GlAbstractTessellation,bindAttributes/1[me.jellysquid.mods.sodium.client.gl.device.CommandList],false,22,3,9,1,8,4,14,14,0,0,1,14,0,0,2,0,0,0,0,0,0,0,3,0,0,0,12,4,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/gl/tessellation/GlAbstractTessellation.java,me.jellysquid.mods.sodium.client.gl.tessellation.GlAbstractTessellation,"GlAbstractTessellation/2[me.jellysquid.mods.sodium.client.gl.tessellation.GlPrimitiveType,me.jellysquid.mods.sodium.client.gl.tessellation.TessellationBinding[]]",true,12,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,4,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/CaffeineMC/sodium-fabric/src/main/java/me/jellysquid/mods/sodium/client/render/chunk/compile/ChunkBuildOutput.java,me.jellysquid.mods.sodium.client.render.chunk.compile.ChunkBuildOutput,"ChunkBuildOutput/4[me.jellysquid.mods.sodium.client.render.chunk.RenderSection,me.jellysquid.mods.sodium.client.render.chunk.data.BuiltSectionInfo,java.util.Map<me.jellysquid.mods.sodium.client.render.chunk.terrain.TerrainRenderPass,me.jellysquid.mods.sodium.client.render.chunk.data.BuiltSectionMeshParts>,int]",true,23,4,2,2,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,1,0,false
