file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/test/java/net/sf/jsqlparser/util/validation/validator/OrderByValidatorTest.java,net.sf.jsqlparser.util.validation.validator.OrderByValidatorTest,class,2,2,0,2,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,2,2,2,0,2,0,0,0,0,30,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/test/java/net/sf/jsqlparser/util/validation/validator/GroupByValidatorTest.java,net.sf.jsqlparser.util.validation.validator.GroupByValidatorTest,class,2,2,0,2,4,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,15,0,1,0,0,0,4,3,2,0,2,1,0,0,0,47,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/test/java/net/sf/jsqlparser/util/TablesNamesFinderTest.java,net.sf.jsqlparser.util.TablesNamesFinderTest,class,15,16,1,15,65,1,0,32,1540,0.98214287,0.0,0.0,56,0,53,2,0,1,54,0,0,0,1,1,0,1,0,0,1,0,46,296,1,3,1,2,0,150,7,84,5,81,4,1,0,3,233,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/test/java/net/sf/jsqlparser/statement/select/SpecialOracleTest.java,net.sf.jsqlparser.statement.select.SpecialOracleTest$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/test/java/net/sf/jsqlparser/parser/CCJSqlParserTest.java,net.sf.jsqlparser.parser.CCJSqlParserTest,class,2,2,0,2,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,2,2,0,2,0,0,0,0,16,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/expression/operators/arithmetic/IntegerDivision.java,net.sf.jsqlparser.expression.operators.arithmetic.IntegerDivision,class,4,8,4,4,4,3,0,3,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/test/java/net/sf/jsqlparser/statement/merge/MergeTest.java,net.sf.jsqlparser.statement.merge.MergeTest,class,6,6,0,6,12,1,0,12,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,57,0,0,0,1,0,187,0,14,8,14,1,0,0,0,129,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/util/AddAliasesVisitor.java,net.sf.jsqlparser.util.AddAliasesVisitor,class,12,14,2,12,17,1,0,14,30,0.8,0.0,0.0,9,0,8,0,1,0,9,0,0,0,5,1,0,5,0,0,1,0,0,62,1,4,2,0,0,3,2,10,1,6,4,0,0,0,72,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/expression/CaseExpression.java,net.sf.jsqlparser.expression.CaseExpression,class,6,10,4,6,22,2,0,14,87,0.75,0.0,0.0,18,0,18,0,0,0,18,0,0,0,4,0,0,4,0,0,0,0,3,68,13,0,2,0,6,12,0,8,3,6,0,0,0,0,46,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/util/validation/validator/LimitValidator.java,net.sf.jsqlparser.util.validation.validator.LimitValidator,class,2,5,3,2,2,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/statement/delete/DeleteModifierPriority.java,net.sf.jsqlparser.statement.delete.DeleteModifierPriority,enum,1,3,2,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/expression/NotExpression.java,net.sf.jsqlparser.expression.NotExpression,class,5,9,4,5,13,2,0,6,18,0.5416666,0.0,0.0,12,0,12,0,0,0,12,0,1,0,2,0,0,2,0,0,0,0,0,42,6,0,0,0,1,2,0,4,1,2,0,0,0,0,30,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/expression/OrderByClause.java,net.sf.jsqlparser.expression.OrderByClause,class,2,8,6,2,10,1,0,13,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,3,34,4,1,1,0,0,2,2,4,0,4,3,0,0,0,20,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/statement/select/SetOperation.java,net.sf.jsqlparser.statement.select.SetOperation,class,2,8,6,2,2,2,4,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1025,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/statement/ReferentialAction.java,net.sf.jsqlparser.statement.ReferentialAction$Action,enum,1,1,0,1,5,1,0,3,0,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,1,16,3,1,0,0,0,5,0,1,0,1,2,0,0,0,25,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/statement/select/ForClause.java,net.sf.jsqlparser.statement.select.ForClause$ForOption,enum,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/expression/CastExpression.java,net.sf.jsqlparser.expression.CastExpression,class,7,11,4,7,18,2,0,10,82,0.8,0.0,0.0,16,0,16,0,0,0,16,0,0,0,5,0,1,4,0,0,0,0,0,63,10,0,0,0,0,8,1,7,3,5,1,0,0,0,39,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/test/java/net/sf/jsqlparser/expression/OracleNamedFunctionParameterTest.java,net.sf.jsqlparser.expression.OracleNamedFunctionParameterTest,class,7,7,0,7,4,1,0,10,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,14,2,7,1,6,0,0,0,0,67,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/statement/upsert/Upsert.java,net.sf.jsqlparser.statement.upsert.Upsert,class,12,24,12,12,43,1,0,22,309,0.85833335,0.0,0.0,30,0,30,0,0,0,30,0,0,0,8,0,0,8,0,0,0,0,4,155,23,0,4,0,0,14,0,11,0,10,2,0,0,0,60,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/statement/select/SetOperationList.java,net.sf.jsqlparser.statement.select.SetOperationList$SetOperationType,enum,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/test/java/net/sf/jsqlparser/statement/drop/DropTest.java,net.sf.jsqlparser.statement.drop.DropTest,class,6,6,0,6,18,1,0,16,147,0.8333333,0.0,0.0,18,0,17,0,0,1,18,0,0,0,1,0,0,1,0,0,1,0,24,83,0,0,0,0,0,37,1,15,2,15,0,0,0,0,95,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/expression/RangeExpression.java,net.sf.jsqlparser.expression.RangeExpression,class,4,7,3,4,7,2,0,1,0,0.42857143,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,28,5,0,0,0,0,1,0,4,1,2,0,0,0,0,19,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/statement/create/table/CreateTable.java,net.sf.jsqlparser.statement.create.table.CreateTable,class,9,19,10,9,69,1,0,41,940,0.90816337,0.0,0.0,49,0,49,0,0,0,49,0,0,0,14,0,0,14,0,0,0,0,17,224,34,0,8,0,8,31,1,44,7,25,2,0,0,0,88,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/util/validation/metadata/NamedObject.java,net.sf.jsqlparser.util.validation.metadata.NamedObject,enum,1,6,5,1,4,1,0,4,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,18,3,1,0,0,0,0,0,0,0,0,2,0,0,0,24,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/test/java/net/sf/jsqlparser/expression/LimitExpressionTest.java,net.sf.jsqlparser.expression.LimitExpressionTest,class,9,9,0,9,4,1,0,11,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0,0,6,0,6,0,4,0,0,0,0,39,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/expression/operators/relational/MinorThanEquals.java,net.sf.jsqlparser.expression.operators.relational.MinorThanEquals,class,4,8,4,4,7,5,0,5,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,1,0,0,0,0,0,0,0,0,20,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/statement/ExplainStatement.java,net.sf.jsqlparser.statement.ExplainStatement$OptionType,enum,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/JSQLParser/JSqlParser/src/main/java/net/sf/jsqlparser/expression/operators/conditional/OrExpression.java,net.sf.jsqlparser.expression.operators.conditional.OrExpression,class,4,7,3,4,6,3,0,5,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0
