file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/api/sms/SmsSendApiImpl.java,cn.iocoder.yudao.module.system.api.sms.SmsSendApiImpl,class,7,7,0,7,2,1,0,7,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,18,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/controller/admin/sensitiveword/vo/SensitiveWordExcelVO.java,cn.iocoder.yudao.module.system.controller.admin.sensitiveword.vo.SensitiveWordExcelVO,class,5,7,2,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,6,0,0,0,0,17,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-framework/yudao-spring-boot-starter-security/src/main/java/cn/iocoder/yudao/framework/security/core/service/SecurityFrameworkServiceImpl.java,cn.iocoder.yudao.framework.security.core.service.SecurityFrameworkServiceImpl,class,10,11,1,10,7,1,0,11,15,0.88888884,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,8,37,7,0,1,0,0,0,2,3,0,4,1,2,0,0,28,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/controller/admin/tenant/vo/packages/TenantPackagePageReqVO.java,cn.iocoder.yudao.module.system.controller.admin.tenant.vo.packages.TenantPackagePageReqVO,class,6,7,1,6,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,4,0,0,0,0,34,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-infra/yudao-module-infra-biz/src/main/java/cn/iocoder/yudao/module/infra/controller/admin/codegen/vo/column/CodegenColumnRespVO.java,cn.iocoder.yudao.module.infra.controller.admin.codegen.vo.column.CodegenColumnRespVO,class,5,7,2,5,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,2,0,0,0,0,17,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/dal/mysql/tenant/TenantMapper.java,cn.iocoder.yudao.module.system.dal.mysql.tenant.TenantMapper,interface,8,10,2,8,5,1,0,13,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-mp/yudao-module-mp-biz/src/main/java/cn/iocoder/yudao/module/mp/controller/admin/material/vo/MpMaterialRespVO.java,cn.iocoder.yudao.module.mp.controller.admin.material.vo.MpMaterialRespVO,class,2,3,1,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,14,0,0,0,0,0,24,0,0,0,12,0,0,0,0,30,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/api/oauth2/OAuth2TokenApiImpl.java,cn.iocoder.yudao.module.system.api.oauth2.OAuth2TokenApiImpl,class,12,12,0,12,4,1,0,11,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,18,4,0,0,0,0,1,0,3,0,4,0,0,0,0,22,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-infra/yudao-module-infra-biz/src/test-integration/java/cn/iocoder/yudao/module/infra/service/codegen/CodegenEngineTest.java,cn.iocoder.yudao.module.infra.service.codegen.CodegenEngineTest,class,8,8,0,8,1,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,1,3,0,8,0,0,0,1,18,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-mp/yudao-module-mp-biz/src/main/java/cn/iocoder/yudao/module/mp/service/handler/user/SubscribeHandler.java,cn.iocoder.yudao.module.mp.service.handler.user.SubscribeHandler,class,12,14,2,12,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,2,16,1,0,0,1,0,2,0,2,0,3,1,0,0,0,21,1,2
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/dal/dataobject/permission/MenuDO.java,cn.iocoder.yudao.module.system.dal.dataobject.permission.MenuDO,class,6,13,7,6,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,15,1,1,14,0,0,1,0,0,17,0,0,0,0,0,2,1,1,0,15,0,0,0,0,47,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-bpm/yudao-module-bpm-biz/src/main/java/cn/iocoder/yudao/module/bpm/controller/admin/definition/vo/form/BpmFormPageReqVO.java,cn.iocoder.yudao.module.bpm.controller.admin.definition.vo.form.BpmFormPageReqVO,class,5,10,5,5,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,13,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-pay/yudao-module-pay-biz/src/main/java/cn/iocoder/yudao/module/pay/dal/mysql/order/PayOrderExtensionMapper.java,cn.iocoder.yudao.module.pay.dal.mysql.order.PayOrderExtensionMapper,interface,4,6,2,4,4,1,0,5,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-framework/yudao-spring-boot-starter-test/src/main/java/cn/iocoder/yudao/framework/test/core/ut/BaseRedisUnitTest.java,cn.iocoder.yudao.framework.test.core.ut.BaseRedisUnitTest$Application,innerclass,5,5,0,5,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-infra/yudao-module-infra-biz/src/main/java/cn/iocoder/yudao/module/infra/controller/admin/logger/vo/apierrorlog/ApiErrorLogExcelVO.java,cn.iocoder.yudao.module.infra.controller.admin.logger.vo.apierrorlog.ApiErrorLogExcelVO,class,4,6,2,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,25,0,0,0,0,0,23,0,0,0,23,0,0,0,0,41,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-gateway/src/main/java/cn/iocoder/yudao/gateway/handler/GlobalExceptionHandler.java,cn.iocoder.yudao.gateway.handler.GlobalExceptionHandler,class,13,14,1,13,5,1,0,13,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,26,4,0,0,0,0,2,1,5,0,4,1,0,0,0,29,1,2
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/controller/admin/logger/vo/operatelog/OperateLogExcelVO.java,cn.iocoder.yudao.module.system.controller.admin.logger.vo.operatelog.OperateLogExcelVO,class,4,6,2,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,8,0,0,0,0,21,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-mp/yudao-module-mp-biz/src/main/java/cn/iocoder/yudao/module/mp/dal/dataobject/menu/MpMenuDO.java,cn.iocoder.yudao.module.mp.dal.dataobject.menu.MpMenuDO,class,10,15,5,10,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,23,1,1,22,0,0,1,0,0,25,0,0,0,0,0,2,1,1,0,23,0,0,0,0,61,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-framework/yudao-spring-boot-starter-job/src/main/java/cn/iocoder/yudao/framework/quartz/config/XxlJobProperties.java,cn.iocoder.yudao.framework.quartz.config.XxlJobProperties$ExecutorProperties,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,7,2,0,7,0,0,2,0,0,9,0,0,0,0,0,2,2,4,0,7,0,0,0,0,31,9,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-infra/yudao-module-infra-biz/src/main/java/cn/iocoder/yudao/module/infra/service/file/FileServiceImpl.java,cn.iocoder.yudao.module.infra.service.file.FileServiceImpl,class,13,15,2,13,8,1,0,24,0,0.3,0.0,0.0,5,0,4,1,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,47,4,0,1,0,0,3,0,10,0,10,1,0,0,0,42,1,0
