file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/api/sms/SmsSendApiImpl.java,cn.iocoder.yudao.module.system.api.sms.SmsSendApiImpl,sendSingleSmsToAdmin/1[cn.iocoder.yudao.module.system.api.sms.SmsSendSingleToUserReqDTO],false,21,3,1,0,1,1,6,3,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/api/sms/SmsSendApiImpl.java,cn.iocoder.yudao.module.system.api.sms.SmsSendApiImpl,sendSingleSmsToMember/1[cn.iocoder.yudao.module.system.api.sms.SmsSendSingleToUserReqDTO],false,27,3,1,0,1,1,6,3,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-framework/yudao-spring-boot-starter-security/src/main/java/cn/iocoder/yudao/framework/security/core/service/SecurityFrameworkServiceImpl.java,cn.iocoder.yudao.framework.security.core.service.SecurityFrameworkServiceImpl,hasAnyScopes/1[java.lang.String[]],false,91,2,2,1,1,2,4,7,2,1,1,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-framework/yudao-spring-boot-starter-security/src/main/java/cn/iocoder/yudao/framework/security/core/service/SecurityFrameworkServiceImpl.java,cn.iocoder.yudao.framework.security.core.service.SecurityFrameworkServiceImpl,hasPermission/1[java.lang.String],false,64,1,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-framework/yudao-spring-boot-starter-security/src/main/java/cn/iocoder/yudao/framework/security/core/service/SecurityFrameworkServiceImpl.java,cn.iocoder.yudao.framework.security.core.service.SecurityFrameworkServiceImpl,hasAnyPermissions/1[java.lang.String[]],false,70,3,2,1,1,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-framework/yudao-spring-boot-starter-security/src/main/java/cn/iocoder/yudao/framework/security/core/service/SecurityFrameworkServiceImpl.java,cn.iocoder.yudao.framework.security.core.service.SecurityFrameworkServiceImpl,hasAnyRoles/1[java.lang.String[]],false,81,3,2,1,1,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-framework/yudao-spring-boot-starter-security/src/main/java/cn/iocoder/yudao/framework/security/core/service/SecurityFrameworkServiceImpl.java,cn.iocoder.yudao.framework.security.core.service.SecurityFrameworkServiceImpl,hasRole/1[java.lang.String],false,75,1,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-framework/yudao-spring-boot-starter-security/src/main/java/cn/iocoder/yudao/framework/security/core/service/SecurityFrameworkServiceImpl.java,cn.iocoder.yudao.framework.security.core.service.SecurityFrameworkServiceImpl,hasScope/1[java.lang.String],false,86,1,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/dal/mysql/tenant/TenantMapper.java,cn.iocoder.yudao.module.system.dal.mysql.tenant.TenantMapper,selectListByPackageId/1[java.lang.Long],false,49,2,2,1,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,65536,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/dal/mysql/tenant/TenantMapper.java,cn.iocoder.yudao.module.system.dal.mysql.tenant.TenantMapper,selectPage/1[cn.iocoder.yudao.module.system.dal.mysql.tenant.TenantPageReqVO],false,21,5,3,2,1,1,10,3,1,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65536,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/dal/mysql/tenant/TenantMapper.java,cn.iocoder.yudao.module.system.dal.mysql.tenant.TenantMapper,selectByName/1[java.lang.String],false,41,1,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,65536,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/dal/mysql/tenant/TenantMapper.java,cn.iocoder.yudao.module.system.dal.mysql.tenant.TenantMapper,selectList/1[cn.iocoder.yudao.module.system.dal.mysql.tenant.TenantExportReqVO],false,31,4,5,4,1,1,10,3,1,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,65536,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/dal/mysql/tenant/TenantMapper.java,cn.iocoder.yudao.module.system.dal.mysql.tenant.TenantMapper,selectCountByPackageId/1[java.lang.Long],false,45,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65536,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/api/oauth2/OAuth2TokenApiImpl.java,cn.iocoder.yudao.module.system.api.oauth2.OAuth2TokenApiImpl,createAccessToken/1[cn.iocoder.yudao.module.system.api.oauth2.OAuth2AccessTokenCreateReqDTO],false,27,7,2,0,2,1,7,4,1,1,1,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/api/oauth2/OAuth2TokenApiImpl.java,cn.iocoder.yudao.module.system.api.oauth2.OAuth2TokenApiImpl,removeAccessToken/1[java.lang.String],false,39,5,2,0,2,1,3,4,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/api/oauth2/OAuth2TokenApiImpl.java,cn.iocoder.yudao.module.system.api.oauth2.OAuth2TokenApiImpl,"refreshAccessToken/2[java.lang.String,java.lang.String]",false,45,5,2,0,2,1,3,4,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-system/yudao-module-system-biz/src/main/java/cn/iocoder/yudao/module/system/api/oauth2/OAuth2TokenApiImpl.java,cn.iocoder.yudao.module.system.api.oauth2.OAuth2TokenApiImpl,checkAccessToken/1[java.lang.String],false,34,4,2,0,2,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-infra/yudao-module-infra-biz/src/test-integration/java/cn/iocoder/yudao/module/infra/service/codegen/CodegenEngineTest.java,cn.iocoder.yudao.module.infra.service.codegen.CodegenEngineTest,testExecute/0,false,26,5,2,0,2,1,6,6,0,5,0,6,0,0,0,0,0,0,0,1,3,0,0,0,0,1,10,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-mp/yudao-module-mp-biz/src/main/java/cn/iocoder/yudao/module/mp/service/handler/user/SubscribeHandler.java,cn.iocoder.yudao.module.mp.service.handler.user.SubscribeHandler,"handle/4[cn.iocoder.yudao.module.mp.service.handler.user.WxMpXmlMessage,java.util.Map<java.lang.String,java.lang.Object>,cn.iocoder.yudao.module.mp.service.handler.user.WxMpService,cn.iocoder.yudao.module.mp.service.handler.user.WxSessionManager]",false,35,8,3,0,3,2,8,12,1,1,4,8,0,0,0,0,1,0,2,0,2,0,1,0,0,0,14,1,2,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-pay/yudao-module-pay-biz/src/main/java/cn/iocoder/yudao/module/pay/dal/mysql/order/PayOrderExtensionMapper.java,cn.iocoder.yudao.module.pay.dal.mysql.order.PayOrderExtensionMapper,selectByNo/1[java.lang.String],false,14,1,3,3,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,65536,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-pay/yudao-module-pay-biz/src/main/java/cn/iocoder/yudao/module/pay/dal/mysql/order/PayOrderExtensionMapper.java,cn.iocoder.yudao.module.pay.dal.mysql.order.PayOrderExtensionMapper,"updateByIdAndStatus/3[java.lang.Long,java.lang.Integer,cn.iocoder.yudao.module.pay.dal.dataobject.order.PayOrderExtensionDO]",false,18,2,3,3,0,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,65536,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-pay/yudao-module-pay-biz/src/main/java/cn/iocoder/yudao/module/pay/dal/mysql/order/PayOrderExtensionMapper.java,cn.iocoder.yudao.module.pay.dal.mysql.order.PayOrderExtensionMapper,"selectListByStatusAndCreateTimeGe/2[java.lang.Integer,java.time.LocalDateTime]",false,27,2,1,1,0,1,3,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,65536,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-module-pay/yudao-module-pay-biz/src/main/java/cn/iocoder/yudao/module/pay/dal/mysql/order/PayOrderExtensionMapper.java,cn.iocoder.yudao.module.pay.dal.mysql.order.PayOrderExtensionMapper,selectListByOrderId/1[java.lang.Long],false,23,1,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65536,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/YunaiV/yudao-cloud/yudao-gateway/src/main/java/cn/iocoder/yudao/gateway/handler/GlobalExceptionHandler.java,cn.iocoder.yudao.gateway.handler.GlobalExceptionHandler,"responseStatusExceptionHandler/2[cn.iocoder.yudao.gateway.handler.ServerWebExchange,cn.iocoder.yudao.gateway.handler.ResponseStatusException]",false,54,4,1,1,0,1,6,5,1,1,2,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,15,2,1,true
