file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/doris/fe/fe-core/src/main/java/org/apache/doris/nereids/trees/expressions/functions/scalar/BitmapCount.java,org.apache.doris.nereids.trees.expressions.functions.scalar.BitmapCount,class,11,12,1,11,5,2,0,7,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,1,0,0,0,1,0,0,16,3,0,1,0,0,1,2,1,0,1,0,0,0,0,28,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/doris/fe/fe-core/src/main/java/org/apache/doris/nereids/trees/expressions/functions/scalar/Timestamp.java,org.apache.doris.nereids.trees.expressions.functions.scalar.Timestamp,class,10,11,1,10,6,2,0,7,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,1,0,0,0,1,0,0,16,3,0,1,0,0,1,2,1,0,1,0,0,0,0,34,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/doris/fe/fe-core/src/test/java/org/apache/doris/clone/ColocateTableCheckerAndBalancerTest.java,org.apache.doris.clone.ColocateTableCheckerAndBalancerTest$Anonymous8,anonymous,0,0,0,0,1,1,0,11,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,133,0,0,0,0,1,1,54,86,3,0,0,0,0,0,24,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/doris/fe/fe-core/src/main/java/org/apache/doris/datasource/ExternalMetaCacheMgr.java,org.apache.doris.datasource.ExternalMetaCacheMgr,class,14,16,2,14,31,1,0,40,0,0.60439557,0.0,0.0,13,0,13,0,0,0,13,0,0,0,7,1,0,7,0,0,4,0,5,133,7,1,13,0,3,11,2,25,1,20,3,0,0,0,58,1,10
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/doris/fe/fe-core/src/test/java/org/apache/doris/clone/ColocateTableCheckerAndBalancerTest.java,org.apache.doris.clone.ColocateTableCheckerAndBalancerTest$Anonymous7,anonymous,0,0,0,0,1,1,0,9,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,76,0,0,0,0,1,0,31,48,3,0,0,0,0,0,21,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/doris/fe/fe-core/src/main/java/org/apache/doris/nereids/trees/plans/algebra/Window.java,org.apache.doris.nereids.trees.plans.algebra.Window,interface,17,19,2,17,18,1,0,23,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,56,7,3,2,0,1,1,4,17,1,15,2,0,0,0,76,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/doris/fe/fe-core/src/main/java/org/apache/doris/statistics/EmptySetStatsDerive.java,org.apache.doris.statistics.EmptySetStatsDerive,class,1,2,1,1,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,10,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/doris/fe/fe-core/src/main/java/org/apache/doris/common/profile/PlanTreePrinter.java,org.apache.doris.common.profile.PlanTreePrinter,class,6,7,1,6,3,1,0,6,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,15,2,1,0,0,0,0,0,3,0,3,1,0,0,0,18,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/doris/fe/fe-common/src/main/java/org/apache/doris/common/property/PropertySchema.java,org.apache.doris.common.property.PropertySchema$DateProperty,innerclass,4,4,0,4,11,2,0,15,24,0.5555556,0.0,0.0,9,0,8,0,0,1,9,0,0,0,1,0,0,0,0,1,0,0,7,40,5,0,1,1,0,3,0,2,1,1,1,0,0,0,36,25,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/doris/fe/fe-core/src/test/java/org/apache/doris/clone/ColocateTableCheckerAndBalancerTest.java,org.apache.doris.clone.ColocateTableCheckerAndBalancerTest$Anonymous2,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,19,20,0,0,0,0,0,0,25,-1,0
