file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/incubator-streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/metrics/flink/CheckPoints.java,org.apache.streampark.console.core.metrics.flink.CheckPoints,class,4,7,3,4,2,1,0,3,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,2,51,2,0,0,0,0,0,0,0,0,2,1,0,2,0,8,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/incubator-streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/system/controller/PassportController.java,org.apache.streampark.console.system.controller.PassportController,class,14,14,0,14,6,1,0,10,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,2,28,4,0,0,0,0,16,1,2,0,6,1,0,0,0,26,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/incubator-streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/metrics/yarn/YarnAppInfo.java,org.apache.streampark.console.core.metrics.yarn.YarnAppInfo$App,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,28,0,0,0,0,51,9,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/incubator-streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/system/service/impl/MemberServiceImpl.java,org.apache.streampark.console.system.service.impl.MemberServiceImpl,class,17,18,1,17,14,2,0,47,56,0.8055555,0.0,0.0,12,0,11,1,0,0,11,0,0,0,3,0,0,3,0,0,0,0,13,69,7,0,2,0,0,11,0,10,0,14,1,0,0,7,50,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/incubator-streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/base/config/P6spySqlFormatConfig.java,org.apache.streampark.console.base.config.P6spySqlFormatConfig,class,1,1,0,1,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,15,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/incubator-streampark/streampark-flink/streampark-flink-udf/src/main/java/org/apache/streampark/flink/udf/DateFormat.java,org.apache.streampark.flink.udf.DateFormat,class,1,1,0,1,3,2,0,1,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,1,0,2,0,1,0,0,0,0,12,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/incubator-streampark/streampark-console/streampark-console-service/src/test/java/org/apache/streampark/console/core/service/alert/AlertServiceTest.java,org.apache.streampark.console.core.service.alert.AlertServiceTest,class,21,22,1,21,14,1,0,80,17,0.71666664,0.0,0.0,10,0,0,3,0,7,7,0,0,0,6,0,0,2,0,4,0,0,10,151,1,0,2,1,0,33,18,28,5,26,1,0,0,0,78,0,2
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/incubator-streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/metrics/flink/CheckPoints.java,org.apache.streampark.console.core.metrics.flink.CheckPoints$Latest,innerclass,3,3,0,3,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,2,14,1,0,0,0,0,0,0,1,0,3,1,0,0,0,10,9,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/incubator-streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/service/ApplicationConfigService.java,org.apache.streampark.console.core.service.ApplicationConfigService,interface,5,14,9,5,11,1,0,0,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/incubator-streampark/streampark-console/streampark-console-service/src/main/java/org/apache/streampark/console/core/entity/Resource.java,org.apache.streampark.console.core.entity.Resource,class,7,16,9,7,7,1,0,1,0,0.94736844,0.0,0.0,3,0,3,0,0,0,3,0,0,0,19,1,0,19,0,0,1,0,0,43,4,0,4,0,0,8,5,3,0,20,1,0,0,0,55,1,0
