file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/consensus/src/main/java/org/apache/iotdb/consensus/IStateMachine.java,org.apache.iotdb.consensus.IStateMachine$EventApi,interface,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/storageengine/dataregion/wal/buffer/WALEntryValue.java,org.apache.iotdb.db.storageengine.dataregion.wal.buffer.WALEntryValue,interface,2,11,9,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/integration-test/src/test/java/org/apache/iotdb/db/it/aggregation/IoTDBAggregationByLevel2IT.java,org.apache.iotdb.db.it.aggregation.IoTDBAggregationByLevel2IT,class,3,3,0,3,2,2,0,7,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/integration-test/src/test/java/org/apache/iotdb/session/it/IoTDBSessionSimpleIT.java,org.apache.iotdb.session.it.IoTDBSessionSimpleIT,class,24,25,1,24,136,1,0,121,541,0.85294116,0.0,0.0,34,0,29,5,0,0,29,0,0,0,1,1,0,1,0,0,0,0,63,1013,3,35,16,49,1,338,245,223,23,215,4,0,0,0,198,1,7
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/pipe/connector/protocol/thrift/async/IoTDBThriftAsyncConnector.java,org.apache.iotdb.db.pipe.connector.protocol.thrift.async.IoTDBThriftAsyncConnector,class,36,42,6,36,58,2,0,76,65,0.8315789,0.0,0.0,19,0,11,8,0,0,11,0,0,4,10,3,0,10,0,0,9,0,17,274,8,5,5,11,12,12,5,38,6,41,3,1,0,4,182,1,12
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/utils/MemUtils.java,org.apache.iotdb.db.utils.MemUtils,class,13,16,3,13,40,1,0,19,66,0.9166667,0.0,0.0,12,11,11,1,0,0,11,0,0,0,1,1,0,1,0,0,0,0,9,147,14,8,8,0,12,5,35,51,26,22,3,0,0,0,92,1,1
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/example/session/src/main/java/org/apache/iotdb/DataMigrationExample.java,org.apache.iotdb.DataMigrationExample,class,6,7,1,6,5,1,0,16,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,4,4,0,4,0,0,1,0,2,122,0,2,1,0,0,12,8,15,2,12,1,0,1,0,68,1,2
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/datanode/src/test/java/org/apache/iotdb/db/queryengine/common/schematree/ClusterSchemaTreeTest.java,org.apache.iotdb.db.queryengine.common.schematree.ClusterSchemaTreeTest,class,21,23,2,21,45,1,1,66,274,0.9166667,0.0,0.0,24,0,13,9,2,0,15,0,0,0,1,1,0,1,0,0,1,0,13,403,7,19,2,0,6,309,224,150,18,94,3,0,0,0,124,1,4
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/utils/DateTimeUtils.java,org.apache.iotdb.db.utils.DateTimeUtils,class,3,5,2,3,90,1,0,61,169,0.94534427,0.0,0.0,19,18,18,1,0,0,42,0,0,0,26,26,26,0,0,0,26,0,41,328,41,1,6,1,5,26,85,59,36,44,3,0,1,0,150,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/consensus/src/main/java/org/apache/iotdb/consensus/config/IoTConsensusConfig.java,org.apache.iotdb.consensus.config.IoTConsensusConfig$Replication,innerclass,1,1,0,1,15,1,0,0,79,0.86666673,0.0,0.0,15,1,14,1,0,0,14,0,0,0,13,0,0,13,0,0,13,0,0,142,14,0,0,0,1,0,0,13,1,13,0,0,1,0,41,9,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/schemaengine/schemaregion/mtree/impl/pbtree/cache/CacheMemoryManager.java,org.apache.iotdb.db.schemaengine.schemaregion.mtree.impl.pbtree.cache.CacheMemoryManager,class,16,23,7,16,53,1,0,51,93,0.83881575,0.0,0.0,19,1,13,6,0,0,13,0,0,0,16,3,0,16,0,0,5,0,13,241,6,9,6,7,2,5,7,34,2,21,5,1,1,6,166,1,5
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/queryengine/execution/operator/process/TransformOperator.java,org.apache.iotdb.db.queryengine.execution.operator.process.TransformOperator,class,23,24,1,23,53,1,0,62,52,0.82307696,0.0,0.0,20,0,11,3,6,0,17,0,1,0,13,0,0,1,12,0,7,0,2,223,25,7,13,3,5,5,7,36,6,31,5,0,0,0,109,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/confignode/src/main/java/org/apache/iotdb/confignode/manager/TriggerManager.java,org.apache.iotdb.confignode.manager.TriggerManager,class,33,37,4,33,21,1,0,44,0,0.44444445,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,1,0,3,0,0,3,0,6,102,16,1,4,4,4,4,0,22,0,19,3,0,0,0,115,1,4
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/service/metrics/WritingMetrics.java,org.apache.iotdb.db.service.metrics.WritingMetrics,class,11,24,13,11,49,1,0,37,475,0.8968945,0.0,0.0,35,1,25,10,0,0,25,0,0,0,46,30,28,18,0,0,30,0,20,264,5,0,3,0,3,28,5,86,4,66,1,0,0,12,127,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/schemaengine/schemaregion/mtree/impl/pbtree/mnode/impl/CachedMeasurementMNode.java,org.apache.iotdb.db.schemaengine.schemaregion.mtree.impl.pbtree.mnode.impl.CachedMeasurementMNode,class,11,13,2,11,7,2,0,4,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,20,4,0,1,0,0,0,0,0,0,0,0,0,0,0,22,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/datanode/src/test/java/org/apache/iotdb/db/storageengine/dataregion/compaction/cross/RewriteCrossSpaceCompactionWithReadPointPerformerTest.java,org.apache.iotdb.db.storageengine.dataregion.compaction.cross.RewriteCrossSpaceCompactionWithReadPointPerformerTest,class,21,22,1,21,163,2,0,53,21,0.85714287,0.0,0.0,7,0,6,1,0,0,6,0,0,0,1,0,0,1,0,0,1,0,10,424,0,35,44,0,59,47,366,69,76,69,5,0,0,0,145,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/protocol/rest/v1/impl/GrafanaApiServiceImpl.java,org.apache.iotdb.db.protocol.rest.v1.impl.GrafanaApiServiceImpl,class,23,23,0,23,29,2,0,39,0,0.34285715,0.0,0.0,5,0,5,0,0,0,5,0,0,0,7,3,0,7,0,0,7,0,13,136,16,0,13,6,5,12,5,39,6,32,3,0,0,0,82,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/queryengine/plan/Coordinator.java,org.apache.iotdb.db.queryengine.plan.Coordinator,class,21,26,5,21,28,1,0,44,90,0.872549,0.0,0.0,17,1,12,5,0,0,12,0,0,0,12,7,0,12,0,0,12,0,1,112,15,0,4,2,1,4,7,24,2,24,4,0,0,0,118,1,3
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/datanode/src/main/java/org/apache/iotdb/db/queryengine/execution/exchange/sink/DownStreamChannelLocation.java,org.apache.iotdb.db.queryengine.execution.exchange.sink.DownStreamChannelLocation,class,3,6,3,3,10,1,0,8,0,0.4,0.0,0.0,10,1,10,0,0,0,10,0,0,0,3,0,0,3,0,0,1,0,0,52,4,0,0,0,0,0,0,11,0,6,0,0,0,0,53,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/apache/iotdb/iotdb-core/tsfile/src/main/java/org/apache/iotdb/tsfile/read/common/type/FloatType.java,org.apache.iotdb.tsfile.read.common.type.FloatType,class,6,8,2,6,12,1,0,2,66,0.9166667,0.0,0.0,12,1,11,1,0,0,11,0,0,0,1,1,0,1,0,0,1,0,0,38,7,0,0,0,0,0,0,1,0,1,0,0,0,0,23,1,0
