file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/test/java/org/bitcoinj/script/ScriptChunkSizeTest.java,org.bitcoinj.script.ScriptChunkSizeTest,data/0,false,48,3,2,0,2,6,4,19,1,11,0,4,1,1,5,0,0,0,0,14,11,6,1,0,0,0,25,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/test/java/org/bitcoinj/script/ScriptChunkSizeTest.java,org.bitcoinj.script.ScriptChunkSizeTest,randomBytes/1[int],false,78,1,1,1,0,1,1,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,10,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/test/java/org/bitcoinj/script/ScriptChunkSizeTest.java,org.bitcoinj.script.ScriptChunkSizeTest,testSize/0,false,85,2,2,0,2,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,receiveTxBroadcastOnAddedWallet/0,false,270,15,5,0,5,1,19,22,0,8,0,19,0,0,0,0,0,0,0,1,8,0,0,0,0,0,43,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,singleDownloadPeer2/0,false,338,10,3,0,3,2,17,18,0,8,0,17,0,0,0,1,0,0,1,2,8,0,0,0,0,0,31,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,singleDownloadPeer1/0,false,303,8,6,0,6,1,18,21,0,9,0,18,0,0,0,0,0,0,0,3,7,0,0,0,0,1,34,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,peerPriority/0,false,549,5,3,0,3,1,17,49,0,1,0,17,0,0,0,0,0,0,5,32,2,0,0,1,0,0,36,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,preferLocalPeer/0,false,750,1,0,0,0,2,13,20,1,1,0,13,0,0,0,0,2,0,0,3,2,0,1,0,0,0,20,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,autoRescanOnKeyExhaustion/0,false,787,15,5,0,5,3,47,57,0,17,0,47,2,1,2,0,0,0,0,15,21,2,1,0,0,0,60,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,"filterAndSend/3[org.bitcoinj.testing.InboundMessageQueuer,java.util.List<org.bitcoinj.core.Block>,org.bitcoinj.core.BloomFilter]",false,866,5,2,1,1,3,4,7,0,1,3,4,0,0,2,0,0,0,0,0,1,0,2,0,0,0,14,2,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,peerDiscoveryPolling/0,false,175,2,0,0,0,1,5,21,0,2,0,5,0,0,0,0,0,0,0,1,2,0,0,1,0,0,24,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,downloadPeerSelection/0,false,479,4,1,0,1,1,11,27,0,4,0,11,0,0,0,0,0,0,0,16,8,0,0,0,0,0,14,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,peerTimeoutTest/0,false,522,3,1,0,1,3,17,20,0,8,0,17,0,0,0,0,1,0,0,4,4,0,1,0,0,2,21,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,multiplePeerDiscovery/0,false,220,2,1,0,1,1,7,10,0,1,0,7,1,1,0,0,0,0,0,12,0,0,0,0,0,1,8,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,waitForPeersWithServiceFlags/0,false,725,4,1,0,1,1,13,22,0,3,0,13,0,0,0,0,0,0,0,15,7,0,0,0,0,0,18,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,transactionConfidence/0,false,371,9,5,0,5,1,26,37,0,11,0,26,0,0,0,0,0,0,0,17,11,0,0,0,0,2,36,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,testBloomResendOnNewKey/0,false,653,7,2,0,2,3,17,25,0,7,0,17,0,0,2,1,0,1,0,4,9,1,1,0,0,0,30,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,waitForNumPeers1/0,false,685,3,1,0,1,1,7,13,0,1,0,7,0,0,0,0,0,0,0,5,1,0,0,0,0,0,11,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,"createPeerDiscovery/2[int,int]",false,204,2,1,1,0,2,1,14,1,2,2,1,0,0,1,0,0,0,1,1,2,1,1,1,0,0,20,2,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,testWalletCatchupTime/0,false,425,3,0,0,0,1,15,18,0,5,0,15,0,0,0,0,0,0,0,7,5,1,0,0,0,0,17,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,noPings/0,false,449,3,1,0,1,1,11,10,0,1,0,11,0,0,0,0,0,0,0,5,3,0,0,0,0,0,10,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,"assertNextMessageIs/2[org.bitcoinj.testing.InboundMessageQueuer,java.lang.Class<T>]",false,780,4,2,1,1,1,3,5,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,2,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,receiveTxBroadcast/0,false,232,11,5,0,5,1,18,25,0,8,0,18,0,0,0,0,0,0,0,3,8,0,0,0,0,0,40,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,setUp/0,false,118,2,0,0,0,2,4,16,1,3,0,4,0,0,0,1,0,0,0,1,6,0,2,0,0,1,18,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,pings/0,false,461,6,4,0,4,1,14,15,0,3,0,14,0,0,0,0,0,0,0,5,6,0,0,0,0,0,20,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,parameters/0,false,107,2,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,testMaxOfMostFreq/0,false,876,1,0,0,0,1,4,9,0,0,0,4,0,0,0,0,0,0,0,36,0,0,0,0,0,0,7,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,testBloomOnP2PK/0,false,619,12,3,0,3,1,22,25,0,9,0,22,0,0,0,0,0,0,0,6,9,0,0,0,0,0,41,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,listener/0,false,142,4,2,0,2,1,16,26,0,2,0,16,0,0,0,0,0,0,0,5,2,0,0,0,0,0,21,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,tearDown/0,false,137,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,waitForPeersOfVersion/0,false,700,4,1,0,1,1,9,21,0,5,0,9,0,0,0,0,0,0,0,7,9,0,0,0,0,0,17,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/integration-test/src/test/java/org/bitcoinj/core/PeerGroupTest.java,org.bitcoinj.core.PeerGroupTest,PeerGroupTest/1[org.bitcoinj.testing.TestWithNetworkConnections.ClientType],true,112,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/main/java/org/bitcoinj/wallet/WalletTransaction.java,org.bitcoinj.wallet.WalletTransaction,getTransaction/0,false,41,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/main/java/org/bitcoinj/wallet/WalletTransaction.java,org.bitcoinj.wallet.WalletTransaction,getPool/0,false,45,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/main/java/org/bitcoinj/wallet/WalletTransaction.java,org.bitcoinj.wallet.WalletTransaction,"WalletTransaction/2[org.bitcoinj.wallet.WalletTransaction.Pool,org.bitcoinj.core.Transaction]",true,36,2,7,7,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/main/java/org/bitcoinj/crypto/LazyECPoint.java,org.bitcoinj.crypto.LazyECPoint,scaleX/1[org.bitcoinj.crypto.ECFieldElement],false,150,3,1,0,1,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/main/java/org/bitcoinj/crypto/LazyECPoint.java,org.bitcoinj.crypto.LazyECPoint,twice/0,false,197,2,1,0,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/main/java/org/bitcoinj/crypto/LazyECPoint.java,org.bitcoinj.crypto.LazyECPoint,"LazyECPoint/2[org.bitcoinj.crypto.ECPoint,boolean]",true,64,1,7,7,0,1,2,6,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,19,1,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/main/java/org/bitcoinj/crypto/LazyECPoint.java,org.bitcoinj.crypto.LazyECPoint,add/1[org.bitcoinj.crypto.ECPoint],false,177,2,1,0,1,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/main/java/org/bitcoinj/crypto/LazyECPoint.java,org.bitcoinj.crypto.LazyECPoint,get/0,false,87,1,30,30,0,2,1,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/main/java/org/bitcoinj/crypto/LazyECPoint.java,org.bitcoinj.crypto.LazyECPoint,"LazyECPoint/2[org.bitcoinj.crypto.ECCurve,byte[]]",true,52,3,7,6,1,1,1,5,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,24,1,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/main/java/org/bitcoinj/crypto/LazyECPoint.java,org.bitcoinj.crypto.LazyECPoint,scaleY/1[org.bitcoinj.crypto.ECFieldElement],false,142,3,1,0,1,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/main/java/org/bitcoinj/crypto/LazyECPoint.java,org.bitcoinj.crypto.LazyECPoint,getEncoded/1[boolean],false,170,2,3,1,2,3,4,4,2,0,1,4,2,1,0,2,0,0,0,0,0,0,1,0,0,0,7,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/main/java/org/bitcoinj/crypto/LazyECPoint.java,org.bitcoinj.crypto.LazyECPoint,getX/0,false,209,2,1,0,1,1,2,3,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/bitcoinj/bitcoinj/core/src/main/java/org/bitcoinj/crypto/LazyECPoint.java,org.bitcoinj.crypto.LazyECPoint,normalize/0,false,189,2,3,2,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
