file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-base/src/main/java/ai/chat2db/server/tools/base/wrapper/param/OrderCondition.java,ai.chat2db.server.tools.base.wrapper.param.OrderCondition,getOrderBy/0,false,10,1,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-start/src/main/java/ai/chat2db/server/start/config/config/Chat2dbWebMvcConfigurer.java,ai.chat2db.server.start.config.config.Chat2dbWebMvcConfigurer,addInterceptors/1[ai.chat2db.server.start.config.config.InterceptorRegistry],false,55,2,0,0,0,1,4,39,0,0,1,4,0,0,0,0,0,0,4,2,0,0,0,2,0,0,47,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-start/src/main/java/ai/chat2db/server/start/config/config/Chat2dbWebMvcConfigurer.java,ai.chat2db.server.start.config.config.Chat2dbWebMvcConfigurer,buildHeaderString/1[ai.chat2db.server.start.config.config.HttpServletRequest],false,131,1,1,1,0,2,7,12,1,3,1,7,0,0,1,0,0,0,0,0,3,0,1,0,0,0,13,2,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-spi/src/main/java/ai/chat2db/spi/util/ExceptionUtils.java,ai.chat2db.spi.util.ExceptionUtils,getErrorInfoFromException/1[java.lang.Throwable],false,20,0,1,1,0,2,3,10,2,2,1,3,0,0,0,0,1,0,2,0,2,0,1,0,0,0,15,9,1,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-domain/chat2db-server-domain-core/src/main/java/ai/chat2db/server/domain/core/impl/ConfigServiceImpl.java,ai.chat2db.server.domain.core.impl.ConfigServiceImpl,delete/1[java.lang.String],false,69,2,0,0,0,1,3,4,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-domain/chat2db-server-domain-core/src/main/java/ai/chat2db/server/domain/core/impl/ConfigServiceImpl.java,ai.chat2db.server.domain.core.impl.ConfigServiceImpl,update/1[ai.chat2db.server.domain.api.param.SystemConfigParam],false,42,5,2,1,1,1,5,7,1,2,1,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,11,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-domain/chat2db-server-domain-core/src/main/java/ai/chat2db/server/domain/core/impl/ConfigServiceImpl.java,ai.chat2db.server.domain.core.impl.ConfigServiceImpl,create/1[ai.chat2db.server.domain.api.param.SystemConfigParam],false,33,4,2,1,1,1,6,7,1,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-domain/chat2db-server-domain-core/src/main/java/ai/chat2db/server/domain/core/impl/ConfigServiceImpl.java,ai.chat2db.server.domain.core.impl.ConfigServiceImpl,createOrUpdate/1[ai.chat2db.server.domain.api.param.SystemConfigParam],false,51,5,2,0,2,2,5,9,2,1,1,5,2,1,0,1,0,0,1,0,1,0,1,0,0,0,14,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-domain/chat2db-server-domain-core/src/main/java/ai/chat2db/server/domain/core/impl/ConfigServiceImpl.java,ai.chat2db.server.domain.core.impl.ConfigServiceImpl,find/1[java.lang.String],false,62,5,1,0,1,1,4,4,1,1,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-plugins/chat2db-clickhouse/src/main/java/ai/chat2db/plugin/clickhouse/ClickHouseDBManage.java,ai.chat2db.plugin.clickhouse.ClickHouseDBManage,"dropTable/4[java.sql.Connection,java.lang.String,java.lang.String,java.lang.String]",false,13,1,2,0,2,1,2,4,0,2,4,2,0,0,0,0,0,0,2,0,1,1,0,0,0,1,17,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-start/src/main/java/ai/chat2db/server/start/Application.java,ai.chat2db.server.start.Application,main/1[java.lang.String[]],false,33,2,0,0,0,3,7,8,0,2,1,7,0,0,0,0,0,0,1,0,2,0,1,0,0,0,18,9,1,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,doubleValue/0,false,85,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,incrementAndGet/0,false,44,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,17,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,get/0,false,22,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,longValue/0,false,75,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,floatValue/0,false,80,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,IntegerWrapper/1[int],true,15,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,addAndGet/1[int],false,52,0,2,2,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,17,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,intValue/0,false,70,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,decrement/0,false,61,1,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,17,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,IntegerWrapper/0,true,19,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,set/1[int],false,26,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,17,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,getAndDecrement/0,false,34,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,17,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,increment/0,false,57,1,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,17,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,decrementAndGet/0,false,48,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,17,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,getAndIncrement/0,false,30,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,17,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,getAndAdd/1[int],false,38,0,2,2,0,1,0,5,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,17,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-common/src/main/java/ai/chat2db/server/tools/common/model/IntegerWrapper.java,ai.chat2db.server.tools.common.model.IntegerWrapper,add/1[int],false,65,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,17,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-base/src/main/java/ai/chat2db/server/tools/base/wrapper/Result.java,ai.chat2db.server.tools.base.wrapper.Result,success/0,false,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-base/src/main/java/ai/chat2db/server/tools/base/wrapper/Result.java,ai.chat2db.server.tools.base.wrapper.Result,errorMessage/0,false,38,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-base/src/main/java/ai/chat2db/server/tools/base/wrapper/Result.java,ai.chat2db.server.tools.base.wrapper.Result,errorDetail/1[java.lang.String],false,53,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-base/src/main/java/ai/chat2db/server/tools/base/wrapper/Result.java,ai.chat2db.server.tools.base.wrapper.Result,solutionLink/1[java.lang.String],false,65,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-base/src/main/java/ai/chat2db/server/tools/base/wrapper/Result.java,ai.chat2db.server.tools.base.wrapper.Result,solutionLink/0,false,70,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-base/src/main/java/ai/chat2db/server/tools/base/wrapper/Result.java,ai.chat2db.server.tools.base.wrapper.Result,success/1[boolean],false,16,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-base/src/main/java/ai/chat2db/server/tools/base/wrapper/Result.java,ai.chat2db.server.tools.base.wrapper.Result,errorDetail/0,false,58,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-base/src/main/java/ai/chat2db/server/tools/base/wrapper/Result.java,ai.chat2db.server.tools.base.wrapper.Result,errorMessage/1[java.lang.String],false,46,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-base/src/main/java/ai/chat2db/server/tools/base/wrapper/Result.java,ai.chat2db.server.tools.base.wrapper.Result,errorCode/0,false,23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-tools/chat2db-server-tools-base/src/main/java/ai/chat2db/server/tools/base/wrapper/Result.java,ai.chat2db.server.tools.base.wrapper.Result,errorCode/1[java.lang.String],false,31,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/rdb/ViewController.java,ai.chat2db.server.web.api.controller.rdb.ViewController,delete/1[ai.chat2db.server.web.api.controller.rdb.request.TableDeleteRequest],false,66,8,2,0,2,1,2,4,1,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/rdb/ViewController.java,ai.chat2db.server.web.api.controller.rdb.ViewController,columnList/1[ai.chat2db.server.web.api.controller.rdb.request.TableDetailQueryRequest],false,51,9,3,0,3,1,4,6,1,3,1,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,14,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/rdb/ViewController.java,ai.chat2db.server.web.api.controller.rdb.ViewController,detail/1[ai.chat2db.server.web.api.controller.rdb.request.TableDetailQueryRequest],false,60,8,3,0,3,1,7,5,1,2,1,7,0,0,0,0,0,0,1,0,2,0,0,0,0,0,11,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/rdb/ViewController.java,ai.chat2db.server.web.api.controller.rdb.ViewController,list/1[ai.chat2db.server.web.api.controller.rdb.request.TableBriefQueryRequest],false,43,9,3,0,3,1,8,5,1,2,1,8,0,0,0,0,0,0,1,1,2,0,0,0,0,0,14,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-plugins/chat2db-mysql/src/main/java/ai/chat2db/plugin/mysql/builder/DBConfigBuilder.java,ai.chat2db.plugin.mysql.builder.DBConfigBuilder,buildDBConfig/0,false,9,2,3,1,2,1,8,16,1,3,0,8,0,0,0,0,0,0,8,0,3,0,0,0,0,0,13,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-plugins/chat2db-db2/src/main/java/ai/chat2db/plugin/db2/DB2DBManage.java,ai.chat2db.plugin.db2.DB2DBManage,"dropTable/4[java.sql.Connection,java.lang.String,java.lang.String,java.lang.String]",false,12,1,2,0,2,1,2,4,0,2,4,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,12,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-test/src/test/java/ai/chat2db/server/test/temp/SqlTeset.java,ai.chat2db.server.test.temp.SqlTeset,test/0,false,43,11,4,0,4,1,25,32,0,8,0,25,0,0,0,0,0,0,6,8,10,0,0,0,0,0,27,1,3,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-plugins/chat2db-kingbase/src/main/java/ai/chat2db/plugin/kingbase/builder/DBConfigBuilder.java,ai.chat2db.plugin.kingbase.builder.DBConfigBuilder,buildDBConfig/0,false,8,2,3,1,2,1,8,12,1,2,0,8,0,0,0,0,0,0,5,0,2,0,0,0,0,0,10,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/pin/PinController.java,ai.chat2db.server.web.api.controller.pin.PinController,add/1[ai.chat2db.server.web.api.controller.pin.request.PinTableRequest],false,27,8,2,0,2,1,2,3,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-web/chat2db-server-web-api/src/main/java/ai/chat2db/server/web/api/controller/pin/PinController.java,ai.chat2db.server.web.api.controller.pin.PinController,delete/1[ai.chat2db.server.web.api.controller.pin.request.PinTableRequest],false,32,8,2,0,2,1,2,3,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-domain/chat2db-server-domain-api/src/main/java/ai/chat2db/server/domain/api/service/ChartService.java,ai.chat2db.server.domain.api.service.ChartService,create/1[ai.chat2db.server.domain.api.param.ChartCreateParam],false,20,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-domain/chat2db-server-domain-api/src/main/java/ai/chat2db/server/domain/api/service/ChartService.java,ai.chat2db.server.domain.api.service.ChartService,update/1[ai.chat2db.server.domain.api.param.ChartUpdateParam],false,28,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/chat2db/Chat2DB/chat2db-server/chat2db-server-domain/chat2db-server-domain-api/src/main/java/ai/chat2db/server/domain/api/service/ChartService.java,ai.chat2db.server.domain.api.service.ChartService,delete/1[java.lang.Long],false,52,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,true
