file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-mysql/src/test/java/io/debezium/connector/mysql/SnapshotSourceIT.java,io.debezium.connector.mysql.SnapshotSourceIT$Anonymous1,anonymous,0,0,0,0,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,18,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-testing/debezium-testing-testcontainers/src/main/java/io/debezium/testing/testcontainers/MongoDbReplicaSet.java,io.debezium.testing.testcontainers.MongoDbReplicaSet$Builder,innerclass,7,7,0,7,12,1,0,1,66,0.91666675,0.0,0.0,12,0,12,0,0,0,12,0,0,0,12,0,0,12,0,0,0,0,0,62,12,0,0,0,0,4,1,22,0,12,0,0,0,0,36,9,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-postgres/src/main/java/io/debezium/connector/postgresql/connection/ReplicationMessage.java,io.debezium.connector.postgresql.connection.ReplicationMessage$NoopMessage,innerclass,3,3,0,3,9,1,0,2,22,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,3,0,2,31,4,0,1,0,0,0,0,3,0,3,0,0,0,0,56,0,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-core/src/main/java/io/debezium/pipeline/source/snapshot/incremental/DataCollection.java,io.debezium.pipeline.source.snapshot.incremental.DataCollection,class,3,8,5,3,13,1,0,7,0,0.5,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,3,0,9,40,8,0,3,0,0,8,0,4,3,4,1,0,0,0,30,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-sqlserver/src/test/java/io/debezium/connector/sqlserver/CaseSensitivenessIT.java,io.debezium.connector.sqlserver.CaseSensitivenessIT,class,13,14,1,13,6,2,0,27,0,0.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,6,51,0,0,1,0,9,43,12,8,0,4,1,0,0,0,73,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-mysql/src/main/java/io/debezium/connector/mysql/MySqlConnectorConfig.java,io.debezium.connector.mysql.MySqlConnectorConfig,class,26,49,23,26,47,2,0,64,283,0.9596639,0.0,0.0,35,7,26,4,4,1,31,0,0,0,51,42,34,12,4,1,49,0,12,408,38,0,8,0,1,159,42,62,23,61,2,0,5,0,658,1,1
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-core/src/main/java/io/debezium/heartbeat/Heartbeat.java,io.debezium.heartbeat.Heartbeat$OffsetProducer,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-api/src/main/java/io/debezium/spi/topic/TopicNamingStrategy.java,io.debezium.spi.topic.TopicNamingStrategy$TopicValueAugment,interface,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-mongodb/src/test/java/io/debezium/connector/mongodb/Configurator.java,io.debezium.connector.mongodb.Configurator,class,5,7,2,5,14,1,0,7,71,0.64285713,0.0,0.0,14,0,14,0,0,0,14,0,0,0,1,0,0,1,0,0,0,0,0,53,14,0,0,0,0,10,0,1,5,1,0,0,0,0,33,1,5
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-postgres/src/test/java/io/debezium/connector/postgresql/rest/DebeziumPostgresConnectorResourceIT.java,io.debezium.connector.postgresql.rest.DebeziumPostgresConnectorResourceIT,class,9,10,1,9,10,1,0,34,21,0.0,0.0,0.0,7,2,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,33,1,1,1,0,0,38,12,5,7,4,2,0,0,0,38,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-oracle/src/main/java/io/debezium/connector/oracle/logminer/parser/LogMinerDmlEntryImpl.java,io.debezium.connector.oracle.logminer.parser.LogMinerDmlEntryImpl,class,4,14,10,4,22,1,0,5,91,0.73333335,0.0,0.0,18,6,17,1,0,0,17,0,0,0,5,0,0,5,0,0,3,0,6,76,16,0,4,0,0,4,4,13,1,8,1,0,0,0,51,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-postgres/src/main/java/io/debezium/connector/postgresql/snapshot/InitialSnapshotter.java,io.debezium.connector.postgresql.snapshot.InitialSnapshotter,class,6,8,2,6,5,2,0,4,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,0,25,4,0,1,0,0,3,0,2,0,2,1,0,0,0,37,1,3
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-core/src/main/java/io/debezium/schema/DatabaseSchema.java,io.debezium.schema.DatabaseSchema,interface,2,9,7,2,4,1,0,0,6,1.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,1,0,1,0,1,0,0,0,0,88,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-postgres/src/test/java/io/debezium/connector/postgresql/RecordsStreamProducerIT.java,io.debezium.connector.postgresql.RecordsStreamProducerIT,class,42,43,1,42,167,3,0,251,2533,0.8075881,0.0,0.0,123,0,103,20,0,0,103,0,0,0,3,0,2,1,0,0,1,0,395,1756,21,8,18,6,32,1305,494,368,98,344,4,0,0,114,587,1,2
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-core/src/main/java/io/debezium/relational/ddl/DdlParserListener.java,io.debezium.relational.ddl.DdlParserListener,interface,4,6,2,4,1,25,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,16,0,64,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-sqlserver/src/main/java/io/debezium/connector/sqlserver/Lsn.java,io.debezium.connector.sqlserver.Lsn,class,4,15,11,4,36,1,0,15,9,0.76363635,0.0,0.0,11,2,9,2,0,0,9,0,0,0,5,2,1,4,0,0,3,0,4,102,22,3,15,0,2,3,16,19,3,17,2,0,0,0,88,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-core/src/main/java/io/debezium/pipeline/source/snapshot/incremental/AbstractIncrementalSnapshotChangeEventSource.java,io.debezium.pipeline.source.snapshot.incremental.AbstractIncrementalSnapshotChangeEventSource,class,41,43,2,41,134,1,0,211,146,0.82629865,0.0,0.0,44,0,9,16,19,0,28,2,0,0,14,1,0,7,7,0,8,0,25,549,39,13,19,7,4,57,23,98,10,88,6,0,0,8,306,1025,33
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-core/src/test/java/io/debezium/connector/base/ChangeEventQueueTest.java,io.debezium.connector.base.ChangeEventQueueTest,class,13,14,1,13,22,1,0,25,2,0.609375,0.0,0.0,8,4,5,3,0,0,5,0,0,0,8,1,0,8,0,0,8,0,7,93,4,12,0,2,0,8,20,22,3,19,3,0,0,3,62,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-storage/debezium-storage-rocketmq/src/main/java/io/debezium/storage/rocketmq/RocketMqAdminUtil.java,io.debezium.storage.rocketmq.RocketMqAdminUtil,class,18,20,2,18,33,1,0,42,45,0.0,0.0,0.0,10,10,9,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,168,9,5,7,5,1,9,1,36,2,25,3,0,0,0,83,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-core/src/main/java/io/debezium/util/JvmVersionUtil.java,io.debezium.util.JvmVersionUtil,class,3,5,2,3,5,1,0,16,3,0.6666667,NaN,NaN,3,2,1,2,0,0,1,0,0,0,2,2,0,2,0,0,2,0,7,32,2,0,0,2,0,6,2,11,1,10,2,0,0,0,56,1,1
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-mysql/src/test/java/io/debezium/connector/mysql/MySqlJdbcSinkDataTypeConverterIT.java,io.debezium.connector.mysql.MySqlJdbcSinkDataTypeConverterIT,class,14,14,0,14,5,2,0,35,0,0.3,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,1,0,3,157,0,0,0,7,6,173,30,43,9,26,2,0,0,0,85,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-oracle/src/main/java/io/debezium/connector/oracle/logminer/processor/infinispan/marshalling/XmlBeginEventAdapter.java,io.debezium.connector.oracle.logminer.processor.infinispan.marshalling.XmlBeginEventAdapter,class,8,9,1,8,2,3,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,99,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-postgres/src/main/java/io/debezium/connector/postgresql/snapshot/NeverSnapshotter.java,io.debezium.connector.postgresql.snapshot.NeverSnapshotter,class,8,10,2,8,6,1,0,4,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,22,2,0,1,0,0,4,0,2,1,2,1,0,0,0,66,1,2
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-core/src/main/java/io/debezium/relational/NoOpTableEditorImpl.java,io.debezium.relational.NoOpTableEditorImpl,class,7,9,2,7,33,1,0,6,415,0.9083333,0.0,0.0,30,0,28,0,2,0,30,0,0,0,4,0,0,4,0,0,0,0,3,104,29,0,3,0,0,1,0,7,0,6,1,0,0,0,57,16,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-storage/debezium-storage-rocketmq/src/test/java/io/debezium/storage/rocketmq/ZeroMessageQueueSelectorTest.java,io.debezium.storage.rocketmq.ZeroMessageQueueSelectorTest,class,4,4,0,4,2,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,12,0,0,0,0,0,4,3,2,0,2,0,0,0,0,12,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-testing/debezium-testing-system/src/main/java/io/debezium/testing/system/tools/databases/DatabaseInitListener.java,io.debezium.testing.system.tools.databases.DatabaseInitListener,class,4,8,4,4,4,1,0,4,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,1,0,3,0,0,3,0,0,20,0,0,0,0,0,6,0,3,3,3,0,0,0,0,29,1,3
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-connector-oracle/src/test/java/io/debezium/connector/oracle/junit/SkipWhenAdapterNameIsNot.java,io.debezium.connector.oracle.junit.SkipWhenAdapterNameIsNot$AdapterName,enum,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,20,0,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/debezium/debezium/debezium-core/src/test/java/io/debezium/data/SourceRecordAssert.java,io.debezium.data.SourceRecordAssert,class,5,6,1,5,5,1,0,9,0,0.0,0.0,0.0,5,1,4,1,0,0,4,0,0,0,1,0,0,1,0,0,1,0,2,25,4,0,0,0,0,2,0,5,0,5,0,0,0,0,27,1,0
