file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,listen/0,false,133,3,3,0,3,1,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,exceptionHandler/1[io.vertx.core.Handler<java.lang.Throwable>],false,91,4,1,0,1,2,1,7,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,13,33,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,pauseAccepting/0,false,51,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,34,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,connectHandler/1[io.vertx.core.Handler<io.vertx.core.net.NetSocket>],false,82,5,1,0,1,2,1,7,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,13,33,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,"NetServerImpl/2[io.vertx.core.net.impl.VertxInternal,io.vertx.core.net.NetServerOptions]",true,47,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,connectHandler/0,false,77,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,"childHandler/3[io.vertx.core.net.impl.ContextInternal,io.vertx.core.net.SocketAddress,io.vertx.core.net.impl.GlobalTrafficShapingHandler]",false,117,5,1,0,1,1,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,close/1[io.vertx.core.Promise<java.lang.Void>],false,138,2,2,1,1,2,4,8,0,2,1,4,0,0,0,1,0,0,0,0,2,0,1,0,0,1,7,33,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,"initChannel/2[io.vertx.core.net.impl.ChannelPipeline,boolean]",false,239,8,9,1,8,9,11,14,0,3,2,11,0,0,0,1,0,1,3,4,3,0,1,0,0,0,15,4,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,resumeAccepting/0,false,55,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,34,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,close/0,false,109,5,2,0,2,1,4,6,1,2,0,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,listen/1[io.vertx.core.net.SocketAddress],false,122,4,1,0,1,3,2,9,1,0,1,2,0,0,0,2,0,0,2,0,0,0,1,0,0,0,13,33,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,accept/0,false,68,0,1,1,0,4,0,7,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,4,36,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,createMetrics/1[io.vertx.core.net.SocketAddress],false,100,3,1,0,1,2,2,9,2,1,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,4,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,isClosed/0,false,147,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/main/java/io/vertx/core/net/impl/NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,fetchAccepting/1[long],false,59,0,0,0,0,3,0,8,0,0,1,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,6,34,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/test/java/io/vertx/core/TaskQueueTest.java,io.vertx.core.TaskQueueTest,tearDown/0,false,32,0,0,0,0,2,5,11,0,1,0,5,0,0,1,0,1,0,0,1,1,0,2,0,0,0,4,4,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/test/java/io/vertx/core/TaskQueueTest.java,io.vertx.core.TaskQueueTest,setUp/0,false,22,1,1,0,1,1,3,9,0,2,0,3,0,0,0,0,0,0,1,0,3,1,1,0,0,1,12,4,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/test/java/io/vertx/core/TaskQueueTest.java,io.vertx.core.TaskQueueTest,testAwaitSchedulesOnNewThread/0,false,59,3,5,0,5,2,7,19,0,2,0,7,0,0,0,0,1,0,0,1,2,0,2,0,0,2,19,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/test/java/io/vertx/core/TaskQueueTest.java,io.vertx.core.TaskQueueTest,testResumeFromContextThread/0,false,102,3,5,0,5,3,9,28,0,2,0,9,0,0,0,0,2,0,0,3,2,0,3,0,0,3,17,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/eclipse-vertx/vert.x/src/test/java/io/vertx/core/TaskQueueTest.java,io.vertx.core.TaskQueueTest,testCreateThread/0,false,44,3,5,0,5,2,9,15,0,1,0,9,0,0,0,1,0,0,0,1,1,0,1,0,0,3,13,1,0,false
