file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/modules/network/NetworkingModule.java,com.facebook.react.modules.network.NetworkingModule$ResponseHandler,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/fabric/mounting/mountitems/DispatchStringCommandMountItem.java,com.facebook.react.fabric.mounting.mountitems.DispatchStringCommandMountItem,class,5,6,1,5,4,2,0,1,0,0.3125,0.0,0.0,4,0,3,0,0,1,4,0,0,0,4,0,0,4,0,0,4,0,0,21,2,0,0,0,0,2,0,4,1,4,0,0,0,0,22,16,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/ReactFragment.java,com.facebook.react.ReactFragment,class,18,20,2,18,20,2,0,29,44,0.7875,0.0,0.0,16,1,13,1,2,0,15,0,0,0,5,3,0,2,3,0,3,0,0,106,8,0,3,0,1,4,0,14,0,10,1,0,1,0,147,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/runtime/internal/bolts/BoltsExecutors.java,com.facebook.react.runtime.internal.bolts.BoltsExecutors,class,4,8,4,4,7,1,0,7,0,0.35,0.0,0.0,5,4,1,2,0,2,3,0,0,0,4,1,0,4,0,0,4,0,5,68,5,0,1,0,0,2,0,5,0,5,1,0,1,0,51,16,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/devsupport/BundleDownloader.java,com.facebook.react.devsupport.BundleDownloader$Anonymous2,anonymous,4,4,0,4,11,1,0,14,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,37,1,0,0,1,2,16,2,8,3,5,3,0,0,0,28,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/animated/AnimationDriver.java,com.facebook.react.animated.AnimationDriver,class,4,8,4,4,2,1,3,2,1,1.0,0.0,0.0,2,0,2,0,0,0,2,1,0,0,4,0,0,0,0,4,0,0,0,10,0,0,0,0,0,2,0,1,1,4,0,0,0,0,92,1024,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/bridge/WindowFocusChangeListener.java,com.facebook.react.bridge.WindowFocusChangeListener,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/devsupport/BundleDownloader.java,com.facebook.react.devsupport.BundleDownloader$Anonymous1,anonymous,5,5,0,5,7,1,0,18,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,30,2,0,2,1,0,4,1,10,1,6,2,0,0,0,34,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/androidTest/java/com/facebook/react/tests/TestIdTestCase.java,com.facebook.react.tests.TestIdTestCase,class,3,3,0,3,3,3,0,5,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,2,12,1,1,0,0,0,11,0,2,1,2,1,0,0,0,49,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/modules/network/ProgressRequestBody.java,com.facebook.react.modules.network.ProgressRequestBody$Anonymous1,anonymous,5,5,0,5,4,1,0,6,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,2,0,2,0,0,0,0,15,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/views/modal/ReactModalHostView.java,com.facebook.react.views.modal.ReactModalHostView$OnRequestCloseListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/ReactDelegate.java,com.facebook.react.ReactDelegate,class,14,17,3,14,42,1,0,27,20,0.75163394,0.0,0.0,17,0,13,2,2,0,15,0,0,0,9,0,0,9,0,0,2,0,0,164,15,0,5,0,0,3,0,23,0,11,3,0,0,0,118,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/androidTest/java/com/facebook/react/testing/InstanceSpecForTestPackage.java,com.facebook.react.testing.InstanceSpecForTestPackage,class,5,6,1,5,3,1,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,27,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/views/modal/ReactModalHostView.java,com.facebook.react.views.modal.ReactModalHostView$DialogRootViewGroup$Anonymous2,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,1,0,1,1,0,0,0,11,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/modules/dialog/DialogModule.java,com.facebook.react.modules.dialog.DialogModule$AlertFragmentListener,innerclass,4,4,0,4,7,1,0,3,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,1,0,0,23,0,0,0,0,0,0,0,4,0,2,2,0,0,0,32,0,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/uimanager/events/EventDispatcher.java,com.facebook.react.uimanager.events.EventDispatcher,interface,6,40,34,6,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/uimanager/common/ViewUtil.java,com.facebook.react.uimanager.common.ViewUtil,class,2,15,13,2,9,1,0,1,3,1.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,1,17,5,0,5,0,1,0,8,2,3,2,2,0,0,0,55,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/uimanager/ComponentNameResolverManager.java,com.facebook.react.uimanager.ComponentNameResolverManager,class,5,6,1,5,5,1,0,4,6,0.75,0.0,0.0,4,1,1,3,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,15,0,0,0,0,0,2,0,1,0,1,0,0,0,0,19,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/views/image/ReactImageManager.java,com.facebook.react.views.image.ReactImageManager,class,16,17,1,16,41,5,0,38,346,0.8785714,0.0,0.0,28,0,27,0,1,0,28,0,0,0,5,1,1,4,0,0,3,0,8,145,5,0,9,0,1,33,2,17,2,8,1,0,0,0,99,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/uimanager/UIManagerModule.java,com.facebook.react.uimanager.UIManagerModule$CustomEventNamesResolver,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/views/text/TextTransform.java,com.facebook.react.views.text.TextTransform,enum,1,8,7,1,8,1,0,16,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,39,3,1,2,0,0,0,3,11,0,6,1,0,0,0,26,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/uimanager/ReactAccessibilityDelegate.java,com.facebook.react.uimanager.ReactAccessibilityDelegate$AccessibilityRole,enum,4,4,0,4,73,1,0,5,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,148,55,1,2,0,0,26,0,1,2,1,1,0,0,0,56,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/modules/vibration/VibrationModule.java,com.facebook.react.modules.vibration.VibrationModule,class,7,7,0,7,10,2,0,8,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,41,2,1,3,0,0,1,1,8,0,7,1,0,0,0,25,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/views/textinput/ReactEditText.java,com.facebook.react.views.textinput.ReactEditText$TextWatcherDelegator,innerclass,3,3,0,3,13,1,0,7,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,3,3,0,0,5,0,0,1,0,2,0,0,0,56,2,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/facebook/react-native/packages/react-native/ReactAndroid/src/main/java/com/facebook/react/bridge/WritableNativeMap.java,com.facebook.react.bridge.WritableNativeMap,class,11,26,15,11,17,3,0,7,91,0.0,0.0,0.0,14,1,10,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,34,1,0,2,0,0,3,0,1,0,1,0,0,0,0,44,1,0
