file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_213.java,com.fishercoder.solutions._213$Solution2,"rob/3[int[],int,int]",false,46,1,1,1,0,3,1,14,2,4,3,1,0,0,1,0,0,0,0,3,6,4,1,0,0,0,7,2,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_213.java,com.fishercoder.solutions._213$Solution2,rob/1[int[]],false,39,2,1,0,1,2,2,6,2,0,1,2,1,1,0,1,0,0,0,5,0,1,1,0,0,0,46,1,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_213.java,com.fishercoder.solutions._213$Solution1,rob/1[int[]],false,10,2,1,0,1,2,2,6,2,0,1,2,1,1,0,1,0,0,0,5,0,1,1,0,0,0,20,1,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_213.java,com.fishercoder.solutions._213$Solution1,"rob/3[int[],int,int]",false,17,1,1,1,0,3,1,12,2,2,3,1,0,0,1,0,0,0,0,7,5,8,1,0,0,0,5,2,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_631.java,com.fishercoder.solutions._631$Solution1$Excel,"sum/3[int,char,java.lang.String[]]",false,45,2,4,0,4,1,3,7,1,2,3,3,3,3,0,0,0,0,0,2,3,4,0,0,0,0,9,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_631.java,com.fishercoder.solutions._631$Solution1$Excel,"calculate_sum/3[int,int,java.util.HashMap<java.lang.String,java.lang.Integer>]",false,94,1,3,2,1,3,5,10,1,3,3,5,0,0,1,1,0,1,0,5,5,3,1,0,0,0,8,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_631.java,com.fishercoder.solutions._631$Solution1$Excel,convert/1[java.lang.String[]],false,73,0,1,1,0,5,7,21,1,8,1,7,0,0,3,0,0,0,4,13,8,4,4,0,0,0,11,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_631.java,com.fishercoder.solutions._631$Solution1$Excel,"Excel/2[int,char]",true,28,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,3,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_631.java,com.fishercoder.solutions._631$Solution1$Excel,"set/3[int,char,int]",false,39,2,4,1,3,1,2,5,0,0,3,2,2,2,0,0,0,0,0,2,1,4,0,0,0,0,8,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_631.java,com.fishercoder.solutions._631$Solution1$Excel,execute_stack/0,false,64,2,2,1,1,3,4,8,0,1,0,4,1,1,1,0,0,0,0,7,1,0,2,0,0,0,5,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_631.java,com.fishercoder.solutions._631$Solution1$Excel,"topologicalSort/2[int,int]",false,53,2,3,2,1,5,3,10,0,2,2,3,1,0,2,1,0,2,1,4,2,3,3,0,0,0,7,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_631.java,com.fishercoder.solutions._631$Solution1$Excel,"get/2[int,char]",false,32,0,0,0,0,2,0,6,2,0,2,0,0,0,0,1,0,0,0,3,0,4,1,0,0,0,3,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/test/java/com/fishercoder/_1323Test.java,com.fishercoder._1323Test,setup/0,false,13,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/test/java/com/fishercoder/_1323Test.java,com.fishercoder._1323Test,test1/0,false,18,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_2260.java,com.fishercoder.solutions._2260$Solution1,minimumCardPickup/1[int[]],false,10,1,0,0,0,5,8,23,2,7,1,8,0,0,3,0,0,0,0,6,9,4,2,0,0,0,12,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_1055.java,com.fishercoder.solutions._1055$Solution1,fixedPoint/1[int[]],false,7,1,0,0,0,2,4,3,1,1,1,4,0,0,0,1,0,0,0,2,0,0,0,0,0,1,4,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/test/java/com/fishercoder/_53Test.java,com.fishercoder._53Test,setup/0,false,15,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/test/java/com/fishercoder/_53Test.java,com.fishercoder._53Test,clear/0,false,20,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/test/java/com/fishercoder/_53Test.java,com.fishercoder._53Test,test1/0,false,25,2,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,10,1,0,0,0,0,0,4,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/test/java/com/fishercoder/_648Test.java,com.fishercoder._648Test,setup/0,false,18,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/test/java/com/fishercoder/_648Test.java,com.fishercoder._648Test,test2/0,false,30,1,0,0,0,1,3,5,0,0,0,3,0,0,0,0,0,0,105,0,2,2,0,0,0,0,94,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/test/java/com/fishercoder/_648Test.java,com.fishercoder._648Test,test1/0,false,23,1,0,0,0,1,3,5,0,0,0,3,0,0,0,0,0,0,5,0,2,0,0,0,0,0,12,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/solutions/_1455.java,com.fishercoder.solutions._1455$Solution1,"isPrefixOfWord/2[java.lang.String,java.lang.String]",false,5,0,0,0,0,3,2,9,2,2,2,2,0,0,1,0,0,0,1,3,2,1,2,0,0,0,7,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/common/utils/CommonUtils.java,com.fishercoder.common.utils.CommonUtils,convertLeetCodeRegularRectangleArrayInputIntoJavaArray/1[java.lang.String],false,302,1,0,0,0,7,5,28,1,12,1,5,0,0,4,2,0,0,5,10,15,2,3,0,0,0,17,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/common/utils/CommonUtils.java,com.fishercoder.common.utils.CommonUtils,printWhitespaces/1[int],false,130,0,1,1,0,2,1,5,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,4,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/common/utils/CommonUtils.java,com.fishercoder.common.utils.CommonUtils,print2DCharArray/1[char[][]],false,260,1,0,0,0,3,2,9,0,0,1,2,0,0,2,0,0,0,1,0,0,1,2,0,0,0,7,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/common/utils/CommonUtils.java,com.fishercoder.common.utils.CommonUtils,convertLeetCodeIrregularLengths2DArrayInputIntoJavaArray/1[java.lang.String],false,338,1,1,1,0,10,6,47,1,18,1,6,0,0,6,3,0,0,6,21,28,3,4,0,0,0,21,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/common/utils/CommonUtils.java,com.fishercoder.common.utils.CommonUtils,"randomIntArrayGenerator/2[int,int]",false,106,1,5,3,2,2,5,11,1,4,2,5,2,1,1,0,0,0,1,1,4,1,1,0,0,0,12,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/common/utils/CommonUtils.java,com.fishercoder.common.utils.CommonUtils,isAllElementsNull/1[java.util.List<T>],false,136,1,0,0,0,3,0,8,2,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,10,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/common/utils/CommonUtils.java,com.fishercoder.common.utils.CommonUtils,printArray_generic_type/1[T[]],false,17,1,0,0,0,2,2,6,0,0,1,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,7,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/fishercoder1534/Leetcode/src/main/java/com/fishercoder/common/utils/CommonUtils.java,com.fishercoder.common.utils.CommonUtils,printMatrixGeneric/1[boolean[][]],false,221,1,0,0,0,3,3,10,0,0,1,3,0,0,2,0,0,0,3,0,0,1,2,0,0,0,6,9,0,false
