file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/kubernetes-client/java/proto/src/main/java/io/kubernetes/client/proto/V1.java,io.kubernetes.client.proto.V1$ExecAction$Builder,innerclass,16,16,0,16,47,1,0,32,386,0.78125,0.0,0.0,32,1,27,4,1,0,28,0,4,0,2,0,0,2,0,0,0,0,2,177,30,0,7,1,8,0,9,18,0,6,2,0,0,0,115,25,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/kubernetes-client/java/proto/src/main/java/io/kubernetes/client/proto/V1beta1Extensions.java,io.kubernetes.client.proto.V1beta1Extensions$PodSecurityPolicyList$Anonymous39,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/kubernetes-client/java/fluent/src/main/java/io/kubernetes/client/openapi/models/V1CSINodeFluentImpl.java,io.kubernetes.client.openapi.models.V1CSINodeFluentImpl$SpecNestedImpl,innerclass,7,7,0,7,4,2,0,3,4,0.5,0.0,0.0,4,0,2,0,0,2,4,0,0,0,1,0,0,0,0,1,0,0,0,15,2,0,0,0,0,0,0,2,0,1,0,0,0,0,14,0,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/kubernetes-client/java/kubernetes/src/main/java/io/kubernetes/client/openapi/models/V1Endpoint.java,io.kubernetes.client.openapi.models.V1Endpoint,class,7,14,7,7,35,1,0,10,213,0.8958334,0.0,0.0,30,0,29,1,0,0,29,0,0,0,16,8,8,8,0,0,8,0,9,142,25,0,5,0,0,40,0,29,0,18,1,0,0,0,173,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/kubernetes-client/java/proto/src/main/java/io/kubernetes/client/proto/V1beta1Apiextensions.java,io.kubernetes.client.proto.V1beta1Apiextensions$JSONSchemaPropsOrArray,innerclass,17,17,0,17,76,2,0,39,690,0.92499995,0.0,0.0,40,17,35,3,2,0,38,0,3,0,9,5,3,6,0,0,5,0,6,677,42,3,17,1,20,0,42,47,12,22,4,1,1,0,145,25,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/kubernetes-client/java/extended/src/main/java/io/kubernetes/client/extended/workqueue/DefaultDelayingQueue.java,io.kubernetes.client.extended.workqueue.DefaultDelayingQueue,class,5,8,3,5,18,2,0,20,9,0.6571428,0.0,0.0,7,1,3,3,1,0,4,0,0,0,5,1,1,3,1,0,0,0,4,98,5,1,3,1,3,0,6,14,6,11,4,0,1,0,46,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/kubernetes-client/java/proto/src/main/java/io/kubernetes/client/proto/V2alpha1Batch.java,io.kubernetes.client.proto.V2alpha1Batch$CronJobList,innerclass,19,19,0,19,76,2,0,39,690,0.92499995,0.0,0.0,40,17,35,3,2,0,38,0,3,0,9,5,3,6,0,0,5,0,6,677,42,3,17,1,20,0,42,47,12,22,4,1,1,0,141,25,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/kubernetes-client/java/fluent/src/main/java/io/kubernetes/client/openapi/models/V1StatefulSetOrdinalsFluent.java,io.kubernetes.client.openapi.models.V1StatefulSetOrdinalsFluent,interface,3,8,5,3,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/kubernetes-client/java/proto/src/main/java/io/kubernetes/client/proto/V2beta1Autoscaling.java,io.kubernetes.client.proto.V2beta1Autoscaling$ContainerResourceMetricSource$Anonymous1,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/kubernetes-client/java/proto/src/main/java/io/kubernetes/client/proto/V1alpha1Admission.java,io.kubernetes.client.proto.V1alpha1Admission$AdmissionReviewSpec$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
