file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/exoplayer/RawResourceDataSourceFactory.java,com.brentvatne.exoplayer.RawResourceDataSourceFactory,createDataSource/0,false,17,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/exoplayer/RawResourceDataSourceFactory.java,com.brentvatne.exoplayer.RawResourceDataSourceFactory,RawResourceDataSourceFactory/1[com.brentvatne.exoplayer.Context],true,12,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/examples/exampletvOS/android/app/src/release/java/com/exampletvos/ReactNativeFlipper.java,com.exampletvos.ReactNativeFlipper,"initializeFlipper/2[com.exampletvos.Context,com.exampletvos.ReactInstanceManager]",false,17,2,1,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/google/ads/interactivemedia/v3/api/AdEvent.java,com.google.ads.interactivemedia.v3.api.AdEvent,getType/0,false,6,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/ReactBridgeUtils.java,com.brentvatne.ReactBridgeUtils,"safeGetDouble/3[com.brentvatne.ReadableMap,java.lang.String,double]",false,19,1,0,0,0,4,3,3,1,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/ReactBridgeUtils.java,com.brentvatne.ReactBridgeUtils,"safeGetInt/3[com.brentvatne.ReadableMap,java.lang.String,int]",false,12,1,1,1,0,4,3,3,1,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/examples/video-caching/android/app/src/main/java/com/videocaching/MainActivity.java,com.videocaching.MainActivity,getMainComponentName/0,false,12,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/exoplayer/VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,playbackRateChange/1[float],false,379,2,3,2,1,1,3,5,0,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/exoplayer/VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,textTracksToArray/1[java.util.ArrayList<com.brentvatne.common.Track>],false,217,3,2,2,0,6,8,16,1,4,1,8,0,0,1,4,0,0,8,1,4,0,2,0,0,0,12,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/exoplayer/VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,idle/0,false,330,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/exoplayer/VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,"seek/2[long,long]",false,307,2,3,2,1,1,3,6,0,1,2,3,1,1,0,0,0,0,0,2,1,2,0,0,0,0,9,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/exoplayer/VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,end/0,false,334,1,3,2,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/exoplayer/VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,loadStart/0,false,163,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/exoplayer/VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,videoTracks/1[java.util.ArrayList<com.brentvatne.common.VideoTrack>],false,285,2,4,1,3,1,3,3,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/exoplayer/VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,buffering/1[boolean],false,318,2,2,1,1,1,3,5,0,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/exoplayer/VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,textTracks/1[java.util.ArrayList<com.brentvatne.common.Track>],false,281,2,4,1,3,1,3,3,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/exoplayer/VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,timedMetadata/1[com.brentvatne.exoplayer.Metadata],false,385,8,2,1,1,5,8,29,0,11,1,8,1,1,1,0,0,0,5,1,12,0,3,0,0,0,21,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/react-native-video/react-native-video/android/src/main/java/com/brentvatne/exoplayer/VideoEventEmitter.java,com.brentvatne.exoplayer.VideoEventEmitter,"progressChanged/4[double,double,double,double]",false,289,2,2,1,1,1,3,8,0,1,4,3,1,1,0,0,0,0,0,3,1,3,0,0,0,0,12,0,0,false
