file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/redisson/redisson/redisson/src/main/java/org/redisson/api/listener/SetAddListener.java,org.redisson.api.listener.SetAddListener,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/redisson/redisson/redisson/src/main/java/org/redisson/api/search/aggregate/GroupParams.java,org.redisson.api.search.aggregate.GroupParams,class,3,6,3,3,4,1,0,1,2,0.5,0.0,0.0,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,0,0,1,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,11,17,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/redisson/redisson/redisson/src/main/java/org/redisson/client/handler/CommandBatchEncoder.java,org.redisson.client.handler.CommandBatchEncoder,class,9,10,1,9,5,2,0,7,1,1.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,1,0,0,0,1,0,0,17,1,1,0,0,0,0,0,2,0,2,2,0,0,0,32,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/redisson/redisson/redisson/src/main/java/org/redisson/PubSubPatternMessageListener.java,org.redisson.PubSubPatternMessageListener,class,5,7,2,5,17,1,0,7,0,0.5416667,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,3,0,0,43,9,0,6,0,2,1,3,7,2,6,2,0,0,0,33,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/redisson/redisson/redisson/src/main/java/org/redisson/api/IdGenerator.java,org.redisson.api.IdGenerator,interface,2,6,4,2,2,1,0,0,1,0.0,0.0,0.0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/redisson/redisson/redisson-hibernate/redisson-hibernate-52/src/test/java/org/redisson/hibernate/ItemReadWrite.java,ItemReadWrite,class,17,18,1,17,9,1,0,0,26,0.7777778,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,0,32,4,0,0,0,0,10,0,5,0,4,0,0,0,0,20,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/redisson/redisson/redisson-hibernate/redisson-hibernate-52/src/main/java/org/redisson/hibernate/JndiRedissonRegionFactory.java,JndiRedissonRegionFactory,class,7,8,0,8,6,1,0,4,1,0.75,0.0,0.0,2,0,1,0,1,0,2,0,0,0,2,2,1,1,0,0,2,0,0,31,1,0,2,2,0,4,1,6,3,5,3,0,0,0,56,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/redisson/redisson/redisson/src/test/java/org/redisson/RedissonLiveObjectServiceTest.java,org.redisson.RedissonLiveObjectServiceTest$Order,innerclass,5,5,0,5,5,1,0,0,4,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,19,2,0,0,0,0,0,0,2,0,2,0,0,0,0,9,9,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/redisson/redisson/redisson/src/main/java/org/redisson/api/RSortableAsync.java,org.redisson.api.RSortableAsync,interface,4,8,4,4,18,1,0,0,153,0.0,0.0,0.0,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/redisson/redisson/redisson-quarkus/redisson-quarkus-30/runtime/src/main/java/io/quarkus/redisson/client/runtime/RedissonClientProducer.java,RedissonClientProducer,class,12,14,2,12,5,1,0,21,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,41,2,0,2,0,0,3,0,11,0,10,2,1,0,1,25,1,0
