file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/strimzi/strimzi-kafka-operator/user-operator/src/test/java/io/strimzi/operator/user/operator/cache/ScramShaCredentialsCacheTest.java,io.strimzi.operator.user.operator.cache.ScramShaCredentialsCacheTest,class,5,5,0,5,3,1,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,1,0,7,4,7,0,9,2,0,0,2,36,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/strimzi/strimzi-kafka-operator/topic-operator/src/main/java/io/strimzi/operator/topic/Topic.java,io.strimzi.operator.topic.Topic,class,4,41,37,4,20,1,0,9,0,0.56060606,0.0,0.0,11,0,3,1,7,0,10,0,0,0,6,0,0,6,0,0,6,0,1,164,18,0,8,0,0,6,4,12,10,8,1,0,1,0,32,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/strimzi/strimzi-kafka-operator/api/src/main/java/io/strimzi/api/kafka/KafkaConnectorList.java,io.strimzi.api.kafka.KafkaConnectorList,class,1,4,3,1,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/strimzi/strimzi-kafka-operator/api/src/main/java/io/strimzi/api/kafka/model/connect/build/ImageStreamOutput.java,io.strimzi.api.kafka.model.connect.build.ImageStreamOutput,class,7,9,2,7,3,2,0,2,3,0.8333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,0,13,2,0,0,0,0,6,1,1,2,2,0,0,0,0,45,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/strimzi/strimzi-kafka-operator/systemtest/src/test/java/io/strimzi/systemtest/tracing/OpenTelemetryST.java,io.strimzi.systemtest.tracing.OpenTelemetryST,class,34,35,1,34,8,2,0,103,4,0.5,0.0,0.0,8,0,0,0,0,8,8,0,0,0,2,1,0,2,0,0,2,0,58,126,0,0,0,0,8,59,43,25,17,25,0,0,0,1,74,1,5
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/strimzi/strimzi-kafka-operator/operator-common/src/main/java/io/strimzi/operator/common/model/Ca.java,io.strimzi.operator.common.model.Ca,class,17,30,13,17,119,1,2,134,301,0.8847552,0.0,0.0,38,7,23,8,5,2,30,2,0,0,29,14,12,3,14,0,22,0,100,610,35,1,32,18,0,128,18,129,28,99,4,0,2,2,401,1025,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/strimzi/strimzi-kafka-operator/api/src/main/java/io/strimzi/api/kafka/model/KafkaUser.java,io.strimzi.api.kafka.model.KafkaUser,class,24,32,8,24,10,2,0,8,26,0.9861111,0.0,0.0,8,1,8,0,0,0,8,0,0,0,18,15,14,4,0,0,16,0,4,52,5,0,1,1,0,30,2,19,2,19,1,0,0,0,96,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/strimzi/strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/operator/assembly/KafkaListenerReconcilerSkipBootstrapLoadBalancerTest.java,io.strimzi.operator.cluster.operator.assembly.KafkaListenerReconcilerSkipBootstrapLoadBalancerTest$MockKafkaListenersReconciler,innerclass,10,10,0,10,2,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,2,0,0,0,2,36,8,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/strimzi/strimzi-kafka-operator/operator-common/src/main/java/io/strimzi/operator/common/model/ResourceVisitor.java,io.strimzi.operator.common.model.ResourceVisitor,class,8,10,2,8,30,1,0,31,6,0.75,0.0,0.0,4,4,1,2,0,1,2,0,0,0,4,4,0,4,0,0,4,0,9,117,1,4,5,1,0,4,7,16,3,14,4,1,3,0,76,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/strimzi/strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/operator/assembly/KafkaConnectRollerTest.java,io.strimzi.operator.cluster.operator.assembly.KafkaConnectRollerTest,class,26,27,1,26,15,1,0,67,0,0.6642857,0.0,0.0,14,2,12,2,0,0,12,0,0,0,10,10,0,10,0,0,10,0,50,170,4,0,0,0,0,88,29,56,0,70,2,0,0,20,99,1,0
