file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/supertokens/supertokens-core/src/main/java/io/supertokens/webserver/api/multitenancy/RemoveAppAPI.java,io.supertokens.webserver.api.multitenancy.RemoveAppAPI,class,12,13,1,12,7,3,0,13,3,1.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,4,31,1,0,0,1,0,7,2,7,0,6,2,0,0,0,62,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/supertokens/supertokens-core/src/test/java/io/supertokens/test/userRoles/UserRolesTest.java,io.supertokens.test.userRoles.UserRolesTest,class,17,17,0,17,72,1,0,34,465,1.0,0.0,0.0,31,1,31,0,0,0,31,0,0,0,1,0,1,0,0,0,0,0,172,634,29,6,29,6,0,125,36,184,0,178,2,0,0,0,108,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/supertokens/supertokens-core/src/main/java/io/supertokens/session/refreshToken/RefreshToken.java,io.supertokens.session.refreshToken.RefreshToken,class,17,20,3,17,14,3,0,23,10,0.0,0.0,0.0,5,5,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,124,5,0,4,4,0,7,4,16,4,16,2,0,4,0,72,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/supertokens/supertokens-core/src/main/java/io/supertokens/webserver/InputParser.java,io.supertokens.webserver.InputParser,class,8,90,82,8,57,1,0,28,78,0.0,0.0,0.0,13,13,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,7,169,23,1,16,12,2,32,0,14,12,14,2,0,0,1,66,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/supertokens/supertokens-core/src/test/java/io/supertokens/test/accountlinking/MultitenantTest.java,io.supertokens.test.accountlinking.MultitenantTest$CreateThirdPartyUser,innerclass,8,8,0,8,2,2,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,0,0,4,0,0,3,17,0,0,0,0,0,0,0,6,0,6,0,0,0,0,23,10,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/supertokens/supertokens-core/src/main/java/io/supertokens/session/jwt/JWT.java,io.supertokens.session.jwt.JWT$JWTPreParseInfo,innerclass,4,4,0,4,2,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,5,0,0,0,5,0,0,17,0,0,1,0,0,1,4,5,0,5,1,0,0,0,12,9,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/supertokens/supertokens-core/src/main/java/io/supertokens/authRecipe/UserPaginationToken.java,io.supertokens.authRecipe.UserPaginationToken$InvalidTokenException,innerclass,0,0,0,0,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10,9,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/supertokens/supertokens-core/src/main/java/io/supertokens/emailpassword/exceptions/EmailChangeNotAllowedException.java,io.supertokens.emailpassword.exceptions.EmailChangeNotAllowedException,class,0,4,4,0,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,12,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/supertokens/supertokens-core/src/main/java/io/supertokens/inmemorydb/QueryExecutorTemplate.java,io.supertokens.inmemorydb.QueryExecutorTemplate,interface,6,25,19,6,5,1,0,8,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,27,4,0,1,5,0,0,0,6,0,5,2,0,0,0,28,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/supertokens/supertokens-core/src/test/java/io/supertokens/test/WebserverTest.java,io.supertokens.test.WebserverTest,class,23,24,1,23,58,2,0,43,276,1.0,0.0,0.0,24,2,22,2,0,0,22,0,0,0,1,0,1,0,0,0,0,0,135,750,1,2,10,22,6,343,111,129,17,110,2,14,1,0,206,1,0
