file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/ververica/flink-cdc-connectors/flink-connector-oracle-cdc/src/test/java/com/ververica/cdc/connectors/oracle/OracleSourceTest.java,com.ververica.cdc.connectors.oracle.OracleSourceTest$TestingListState,innerclass,3,3,0,3,8,1,0,7,0,0.5,0.0,0.0,7,0,6,0,0,1,7,0,0,0,2,0,0,2,0,0,1,0,0,31,3,0,1,0,0,2,0,3,0,3,1,0,0,1,21,26,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/ververica/flink-cdc-connectors/flink-connector-sqlserver-cdc/src/main/java/com/ververica/cdc/connectors/sqlserver/SqlServerSource.java,com.ververica.cdc.connectors.sqlserver.SqlServerSource$Builder,innerclass,7,7,0,7,14,1,0,8,27,0.8000001,0.0,0.0,10,0,10,0,0,0,10,0,0,0,9,0,0,9,0,0,0,0,4,75,10,0,2,0,0,14,1,12,0,10,1,0,0,0,86,9,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/ververica/flink-cdc-connectors/flink-connector-postgres-cdc/src/main/java/com/ververica/cdc/connectors/postgres/source/PostgresConnectionPoolFactory.java,com.ververica.cdc.connectors.postgres.source.PostgresConnectionPoolFactory,class,2,3,1,2,1,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,9,1,0,0,0,0,1,1,4,0,4,0,0,0,0,35,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/ververica/flink-cdc-connectors/flink-connector-mongodb-cdc/src/test/java/com/ververica/cdc/connectors/mongodb/LegacyMongoDBSourceTest.java,com.ververica.cdc.connectors.mongodb.LegacyMongoDBSourceTest$TestingListState,innerclass,3,3,0,3,8,1,0,7,0,0.5,0.0,0.0,7,0,6,0,0,1,7,0,0,0,2,0,0,2,0,0,1,0,0,31,3,0,1,0,0,2,0,3,0,3,1,0,0,1,21,26,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/ververica/flink-cdc-connectors/flink-connector-mysql-cdc/src/test/java/com/ververica/cdc/connectors/mysql/source/utils/RecordUtilsTest.java,com.ververica.cdc.connectors.mysql.source.utils.RecordUtilsTest,class,3,4,1,3,3,1,0,10,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,35,34,0,0,0,0,0,16,43,0,0,0,0,0,0,0,23,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/ververica/flink-cdc-connectors/flink-connector-mysql-cdc/src/main/java/com/ververica/cdc/connectors/mysql/source/assigners/state/ChunkSplitterState.java,com.ververica.cdc.connectors.mysql.source.assigners.state.ChunkSplitterState$ChunkBoundType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/ververica/flink-cdc-connectors/flink-connector-tidb-cdc/src/main/java/com/ververica/cdc/connectors/tidb/table/RowDataTiKVChangeEventDeserializationSchema.java,com.ververica.cdc.connectors.tidb.table.RowDataTiKVChangeEventDeserializationSchema,class,13,14,1,13,9,2,0,16,1,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,1,47,1,0,2,1,0,2,1,10,1,8,2,0,0,0,64,1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/ververica/flink-cdc-connectors/flink-connector-mongodb-cdc/src/test/java/com/ververica/cdc/connectors/mongodb/LegacyMongoDBSourceTest.java,com.ververica.cdc.connectors.mongodb.LegacyMongoDBSourceTest$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/ververica/flink-cdc-connectors/flink-connector-mongodb-cdc/src/test/java/com/ververica/cdc/connectors/mongodb/LegacyMongoDBSourceTest.java,com.ververica.cdc.connectors.mongodb.LegacyMongoDBSourceTest$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/ververica/flink-cdc-connectors/flink-connector-mysql-cdc/src/main/java/com/ververica/cdc/connectors/mysql/table/MySqlTableSourceFactory.java,com.ververica.cdc.connectors.mysql.table.MySqlTableSourceFactory,class,22,24,2,22,36,1,0,52,87,0.8673469,0.0,0.0,14,4,4,10,0,0,4,0,0,0,7,7,0,7,0,0,7,0,30,177,13,0,3,2,2,16,15,45,0,45,2,0,0,0,189,1,1
