file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yidongnan/grpc-spring-boot-starter/tests/src/test/java/net/devh/boot/grpc/test/util/LoggerTestUtil.java,net.devh.boot.grpc.test.util.LoggerTestUtil,getListAppenderForClasses/1[java.lang.Class<?>[]],false,41,4,1,1,0,2,6,9,2,3,1,6,0,0,0,1,0,0,0,0,1,0,1,0,0,2,12,9,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yidongnan/grpc-spring-boot-starter/tests/src/test/java/net/devh/boot/grpc/test/util/LoggerTestUtil.java,net.devh.boot.grpc.test.util.LoggerTestUtil,LoggerTestUtil/0,true,36,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yidongnan/grpc-spring-boot-starter/grpc-server-spring-boot-autoconfigure/src/main/java/net/devh/boot/grpc/server/autoconfigure/GrpcServerMetricAutoConfiguration.java,net.devh.boot.grpc.server.autoconfigure.GrpcServerMetricAutoConfiguration,"grpcInfoContributor/2[net.devh.boot.grpc.server.config.GrpcServerProperties,java.util.Collection<net.devh.boot.grpc.server.autoconfigure.BindableService>]",false,82,8,2,0,2,3,8,14,1,4,2,8,1,1,1,0,0,0,3,0,4,0,2,0,0,0,19,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yidongnan/grpc-spring-boot-starter/grpc-server-spring-boot-autoconfigure/src/main/java/net/devh/boot/grpc/server/autoconfigure/GrpcServerMetricAutoConfiguration.java,net.devh.boot.grpc.server.autoconfigure.GrpcServerMetricAutoConfiguration,collectMethodNamesForService/1[net.devh.boot.grpc.server.autoconfigure.ServiceDescriptor],false,107,3,2,1,1,2,4,8,1,1,1,4,0,0,1,0,0,0,0,0,1,0,1,0,0,0,28,4,0,true
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yidongnan/grpc-spring-boot-starter/grpc-server-spring-boot-autoconfigure/src/main/java/net/devh/boot/grpc/server/autoconfigure/GrpcServerMetricAutoConfiguration.java,net.devh.boot.grpc.server.autoconfigure.GrpcServerMetricAutoConfiguration,"metricCollectingServerInterceptor/2[net.devh.boot.grpc.server.autoconfigure.MeterRegistry,java.util.Collection<net.devh.boot.grpc.server.autoconfigure.BindableService>]",false,69,6,0,0,0,2,2,9,1,1,2,2,0,0,1,0,0,0,2,0,1,0,1,0,0,0,14,1,2,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yidongnan/grpc-spring-boot-starter/tests/src/test/java/net/devh/boot/grpc/test/config/AwaitableServerClientCallConfiguration.java,net.devh.boot.grpc.test.config.AwaitableServerClientCallConfiguration$Anonymous3$Anonymous4,"start/2[net.devh.boot.grpc.test.config.Listener<RespT>,net.devh.boot.grpc.test.config.Metadata]",false,122,3,0,0,0,1,1,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yidongnan/grpc-spring-boot-starter/tests/src/test/java/net/devh/boot/grpc/test/codec/AbstractCodecTest.java,net.devh.boot.grpc.test.codec.AbstractCodecTest,AbstractCodecTest/1[java.lang.String],true,69,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yidongnan/grpc-spring-boot-starter/tests/src/test/java/net/devh/boot/grpc/test/codec/AbstractCodecTest.java,net.devh.boot.grpc.test.codec.AbstractCodecTest,testTransmission/0,false,74,3,2,0,2,1,10,5,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yidongnan/grpc-spring-boot-starter/grpc-client-spring-boot-autoconfigure/src/test/java/net/devh/boot/grpc/client/inject/GrpcClientBeanPostProcessorTest.java,net.devh.boot.grpc.client.inject.GrpcClientBeanPostProcessorTest$TestConfig,interceptor1/0,false,131,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/yidongnan/grpc-spring-boot-starter/grpc-server-spring-boot-autoconfigure/src/main/java/net/devh/boot/grpc/server/autoconfigure/GrpcHealthServiceAutoConfiguration.java,net.devh.boot.grpc.server.autoconfigure.GrpcHealthServiceAutoConfiguration,healthStatusManager/0,false,49,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
