file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/zaaach/CityPicker/citypicker/src/main/java/com/zaaach/citypicker/adapter/decoration/DividerItemDecoration.java,com.zaaach.citypicker.adapter.decoration.DividerItemDecoration,"getItemOffsets/4[com.zaaach.citypicker.adapter.decoration.Rect,com.zaaach.citypicker.adapter.decoration.View,com.zaaach.citypicker.adapter.decoration.RecyclerView,RecyclerView.State]",false,27,4,0,0,0,1,1,4,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/zaaach/CityPicker/citypicker/src/main/java/com/zaaach/citypicker/adapter/decoration/DividerItemDecoration.java,com.zaaach.citypicker.adapter.decoration.DividerItemDecoration,"onDraw/3[com.zaaach.citypicker.adapter.decoration.Canvas,com.zaaach.citypicker.adapter.decoration.RecyclerView,RecyclerView.State]",false,33,4,0,0,0,2,7,11,0,7,3,7,0,0,1,0,0,0,0,2,7,3,1,0,0,0,15,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/zaaach/CityPicker/citypicker/src/main/java/com/zaaach/citypicker/adapter/decoration/DividerItemDecoration.java,com.zaaach.citypicker.adapter.decoration.DividerItemDecoration,DividerItemDecoration/1[com.zaaach.citypicker.adapter.decoration.Context],true,17,3,1,1,0,1,7,7,0,1,1,7,0,0,0,0,0,0,0,1,3,0,0,0,0,0,12,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/zaaach/CityPicker/citypicker/src/main/java/com/zaaach/citypicker/view/SideIndexBar.java,com.zaaach.citypicker.view.SideIndexBar$OnIndexTouchedChangedListener,"onIndexChanged/2[java.lang.String,int]",false,169,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/zaaach/CityPicker/citypicker/src/main/java/com/zaaach/citypicker/CityPickerDialogFragment.java,com.zaaach.citypicker.CityPickerDialogFragment$Anonymous1,"onScrollStateChanged/2[com.zaaach.citypicker.RecyclerView,int]",false,139,2,1,0,1,2,1,5,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/zaaach/CityPicker/citypicker/src/main/java/com/zaaach/citypicker/CityPickerDialogFragment.java,com.zaaach.citypicker.CityPickerDialogFragment$Anonymous1,"onScrolled/3[com.zaaach.citypicker.RecyclerView,int,int]",false,147,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/zaaach/CityPicker/citypicker/src/main/java/com/zaaach/citypicker/adapter/GridListAdapter.java,com.zaaach.citypicker.adapter.GridListAdapter$GridViewHolder,GridViewHolder/1[com.zaaach.citypicker.adapter.View],true,80,1,1,1,0,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/zaaach/CityPicker/citypicker/src/main/java/com/zaaach/citypicker/adapter/OnPickListener.java,com.zaaach.citypicker.adapter.OnPickListener,"onPick/2[int,com.zaaach.citypicker.model.City]",false,6,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/zaaach/CityPicker/citypicker/src/main/java/com/zaaach/citypicker/adapter/OnPickListener.java,com.zaaach.citypicker.adapter.OnPickListener,onLocate/0,false,7,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/pedrocosta/puc/SoftwareMeasurement/./repos/zaaach/CityPicker/citypicker/src/main/java/com/zaaach/citypicker/adapter/OnPickListener.java,com.zaaach.citypicker.adapter.OnPickListener,onCancel/0,false,8,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
