id,name_with_owner,url,created_at,stargazer_count,releases
MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,5,136871,0
MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==,facebook/react-native,https://github.com/facebook/react-native,8,111680,274
MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,9,83623,0
MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,4,73945,0
MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=,doocs/advanced-java,https://github.com/doocs/advanced-java,4,71525,1
MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=,macrozheng/mall,https://github.com/macrozheng/mall,5,69833,2
MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,10,69269,186
MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=,GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,4,65253,0
MDEwOlJlcG9zaXRvcnk1MDc3NzU=,elastic/elasticsearch,https://github.com/elastic/elasticsearch,13,65037,120
MDEwOlJlcG9zaXRvcnk4MTk3NTM3Mg==,kdn251/interviews,https://github.com/kdn251/interviews,6,60356,0
MDEwOlJlcG9zaXRvcnk2MzQ3NzY2MA==,TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,7,53475,0
MDEwOlJlcG9zaXRvcnkxMTQ4NzUz,spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,12,53069,265
MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==,google/guava,https://github.com/google/guava,9,48252,40
MDEwOlJlcG9zaXRvcnk3NTA4NDEx,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,10,47211,232
MDEwOlJlcG9zaXRvcnkxNzMyMjg0MzY=,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,4,42550,30
MDEwOlJlcG9zaXRvcnk4OTIyNzU=,square/retrofit,https://github.com/square/retrofit,13,41963,0
MDEwOlJlcG9zaXRvcnk0NzEwOTIw,apache/dubbo,https://github.com/apache/dubbo,11,39345,88
MDEwOlJlcG9zaXRvcnkxOTE0ODk0OQ==,PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,9,36790,44
MDEwOlJlcG9zaXRvcnk4ODU5NDc0,skylot/jadx,https://github.com/skylot/jadx,10,36086,28
MDEwOlJlcG9zaXRvcnkxNTkxNTI5MDQ=,jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,4,35786,29
MDEwOlJlcG9zaXRvcnk5NzU0OTgz,eugenp/tutorials,https://github.com/eugenp/tutorials,10,34847,0
MDEwOlJlcG9zaXRvcnk3MDE5ODg3NQ==,airbnb/lottie-android,https://github.com/airbnb/lottie-android,6,34223,46
MDEwOlJlcG9zaXRvcnkxMTI2NzUwOQ==,bumptech/glide,https://github.com/bumptech/glide,10,33901,46
MDEwOlJlcG9zaXRvcnk0NDY2MjY2OQ==,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,7,33641,183
MDEwOlJlcG9zaXRvcnkxNDY2MzM1ODk=,alibaba/arthas,https://github.com/alibaba/arthas,5,33292,51
MDEwOlJlcG9zaXRvcnkyNjc3NzU2Mjk=,geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,3,32798,0
MDEwOlJlcG9zaXRvcnk2NDU1ODE0Mw==,Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,7,32447,117
MDEwOlJlcG9zaXRvcnkxMDY0NTYz,netty/netty,https://github.com/netty/netty,12,31780,0
MDEwOlJlcG9zaXRvcnkyNTYyNzUx,zxing/zxing,https://github.com/zxing/zxing,11,31471,30
MDEwOlJlcG9zaXRvcnkxMTAyMTExNDc=,xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,5,30403,0
MDEwOlJlcG9zaXRvcnk3MjkwNzI1Mw==,ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,6,29361,0
MDEwOlJlcG9zaXRvcnkxMjAzOTUxNzY=,alibaba/easyexcel,https://github.com/alibaba/easyexcel,5,28909,8
MDEwOlJlcG9zaXRvcnkxMjYxNzg2ODM=,halo-dev/halo,https://github.com/halo-dev/halo,5,28658,134
MDEwOlJlcG9zaXRvcnk1MzEyNzQwMw==,apolloconfig/apollo,https://github.com/apolloconfig/apollo,7,28335,38
MDEwOlJlcG9zaXRvcnk3NjEzMjU3,SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,10,27667,85
MDEwOlJlcG9zaXRvcnkxMzc0NTE0MDM=,alibaba/nacos,https://github.com/alibaba/nacos,5,27448,58
MDEwOlJlcG9zaXRvcnkyNzAwMTU5,alibaba/druid,https://github.com/alibaba/druid,11,27190,48
MDEwOlJlcG9zaXRvcnkxODcyMzgzNg==,dromara/hutool,https://github.com/dromara/hutool,9,27021,134
MDEwOlJlcG9zaXRvcnkxMTQ1MjMxODQ=,crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,5,26999,0
MDEwOlJlcG9zaXRvcnk3NTg3MDM4,alibaba/canal,https://github.com/alibaba/canal,10,26652,27
MDEwOlJlcG9zaXRvcnkxMTI3ODU0MTQ=,alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,5,26369,35
MDEwOlJlcG9zaXRvcnkxMTYyMzc4MjM=,lenve/vhr,https://github.com/lenve/vhr,5,26299,0
MDEwOlJlcG9zaXRvcnkxMzE3ODk0OTQ=,wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,5,26092,0
MDEwOlJlcG9zaXRvcnkyMjExMjQz,apache/kafka,https://github.com/apache/kafka,12,25803,0
MDEwOlJlcG9zaXRvcnk4NTc1MTM3,JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,10,25614,0
MDEwOlJlcG9zaXRvcnkyNzAwNDc0,alibaba/fastjson,https://github.com/alibaba/fastjson,11,25441,84
MDEwOlJlcG9zaXRvcnk0MTg4OTAzMQ==,TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,8,25207,126
MDEwOlJlcG9zaXRvcnk0NzAyMzYwMw==,xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,7,25145,32
MDEwOlJlcG9zaXRvcnkxMDgyNTI4OTI=,proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,5,24999,49
MDEwOlJlcG9zaXRvcnkxNTQ2NDgxMTI=,hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,4,24895,0
MDEwOlJlcG9zaXRvcnk0NDgwNDIxNg==,termux/termux-app,https://github.com/termux/termux-app,7,24441,89
MDEwOlJlcG9zaXRvcnk1MDcwMzg5,greenrobot/EventBus,https://github.com/greenrobot/EventBus,11,24436,7
MDEwOlJlcG9zaXRvcnk5MzE1MjIyMw==,scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,6,24378,11
MDEwOlJlcG9zaXRvcnkxNjMzODczMzc=,seata/seata,https://github.com/seata/seata,4,24196,37
MDEwOlJlcG9zaXRvcnkyOTkwMTky,signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,11,24001,0
MDEwOlJlcG9zaXRvcnk2NzY2NTU4,Netflix/Hystrix,https://github.com/Netflix/Hystrix,10,23588,79
MDEwOlJlcG9zaXRvcnkxNDkwMDEzNjU=,doocs/leetcode,https://github.com/doocs/leetcode,4,23190,19
MDEwOlJlcG9zaXRvcnkxMzg2MjM4MQ==,DrKLO/Telegram,https://github.com/DrKLO/Telegram,9,22584,81
MDEwOlJlcG9zaXRvcnkzMjUzODg3MQ==,google/gson,https://github.com/google/gson,8,22397,6
MDEwOlJlcG9zaXRvcnk0NTcyMTAxMQ==,apache/skywalking,https://github.com/apache/skywalking,7,22361,57
MDEwOlJlcG9zaXRvcnkyMDU4NzU5OQ==,apache/flink,https://github.com/apache/flink,9,21927,0
MDEwOlJlcG9zaXRvcnk1MzczNTUx,libgdx/libgdx,https://github.com/libgdx/libgdx,11,21895,10
MDEwOlJlcG9zaXRvcnkxNTgyMzQ2MA==,redisson/redisson,https://github.com/redisson/redisson,9,21726,132
MDEwOlJlcG9zaXRvcnkxMTAzNjA3,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,12,21386,286
MDEwOlJlcG9zaXRvcnkxMjgwMTg0Mjg=,alibaba/Sentinel,https://github.com/alibaba/Sentinel,5,21386,23
MDEwOlJlcG9zaXRvcnkyMDc3Mzc3Mw==,bazelbuild/bazel,https://github.com/bazelbuild/bazel,9,21340,225
R_kgDOIXtSqw,krahets/hello-algo,https://github.com/krahets/hello-algo,0,21157,5
MDEwOlJlcG9zaXRvcnkyMDgxODEyNg==,google/ExoPlayer,https://github.com/google/ExoPlayer,9,21005,28
MDEwOlJlcG9zaXRvcnkxNjE3NTc4Mzc=,elunez/eladmin,https://github.com/elunez/eladmin,4,20164,1
MDEwOlJlcG9zaXRvcnkyMzA5NTk1NA==,ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,9,19802,20
MDEwOlJlcG9zaXRvcnk3NTE2NDgyMw==,apache/rocketmq,https://github.com/apache/rocketmq,6,19767,15
MDEwOlJlcG9zaXRvcnkzMzIzNTc2OTg=,YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,2,19749,20
MDEwOlJlcG9zaXRvcnkxNDQ3MDU2MDI=,didi/DoKit,https://github.com/didi/DoKit,5,19644,10
MDEwOlJlcG9zaXRvcnk2ODM0NzAz,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,10,19429,0
MDEwOlJlcG9zaXRvcnk0OTY2MjIyMg==,oracle/graal,https://github.com/oracle/graal,7,18995,32
MDEwOlJlcG9zaXRvcnk3MzYxNDcyMg==,CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,6,18965,43
MDEwOlJlcG9zaXRvcnk4OTgyMjUzMQ==,Anuken/Mindustry,https://github.com/Anuken/Mindustry,6,18945,160
MDEwOlJlcG9zaXRvcnk4MjA1NjAy,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,10,18889,40
MDEwOlJlcG9zaXRvcnk0OTg3NjQ3Ng==,apache/shardingsphere,https://github.com/apache/shardingsphere,7,18777,54
MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,9,18638,0
MDEwOlJlcG9zaXRvcnk1MDg0NzUw,Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,11,18604,5
MDEwOlJlcG9zaXRvcnkxMjYzNjU5NjU=,linlinjava/litemall,https://github.com/linlinjava/litemall,5,18346,8
MDEwOlJlcG9zaXRvcnk3MDEwNzI0,dianping/cat,https://github.com/dianping/cat,10,18054,3
MDEwOlJlcG9zaXRvcnkxMzMxMzQwMDc=,OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,5,17531,57
MDEwOlJlcG9zaXRvcnk4NzYyNDg3MA==,forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,6,17476,0
MDEwOlJlcG9zaXRvcnkxNDg0OTY2ODc=,yudaocode/SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,4,17472,0
MDEwOlJlcG9zaXRvcnkxMTEyNTU4OQ==,keycloak/keycloak,https://github.com/keycloak/keycloak,10,17305,39
MDEwOlJlcG9zaXRvcnkzNzY2NzA2,iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,11,17202,18
MDEwOlJlcG9zaXRvcnkzMTUzMzk5Nw==,facebook/fresco,https://github.com/facebook/fresco,8,16989,46
MDEwOlJlcG9zaXRvcnk2NzQ4MTk4Ng==,Tencent/tinker,https://github.com/Tencent/tinker,7,16873,54
MDEwOlJlcG9zaXRvcnkxNDkxMjE5NTQ=,openjdk/jdk,https://github.com/openjdk/jdk,4,16817,0
MDEwOlJlcG9zaXRvcnkyODYyMjkw,nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,11,16806,0
MDEwOlJlcG9zaXRvcnk2OTk1MzQ0NQ==,shuzheng/zheng,https://github.com/shuzheng/zheng,6,16556,0
MDEwOlJlcG9zaXRvcnkxNzgwNDU4NA==,winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,9,16435,0
MDEwOlJlcG9zaXRvcnk0NTc2MzA1,openzipkin/zipkin,https://github.com/openzipkin/zipkin,11,16400,72
MDEwOlJlcG9zaXRvcnk1OTAxOTAw,LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,10,16338,13
MDEwOlJlcG9zaXRvcnk3NDM1OTQ0Mg==,Tencent/APIJSON,https://github.com/Tencent/APIJSON,6,15839,94
MDEwOlJlcG9zaXRvcnk4MTA1Nzg0Mg==,JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,6,15653,0
MDEwOlJlcG9zaXRvcnkyOTkzNTk1,medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,11,15474,188
MDEwOlJlcG9zaXRvcnkyMzExMjUyNg==,android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,9,15379,0
MDEwOlJlcG9zaXRvcnk3NTY0MzA5Ng==,material-components/material-components-android,https://github.com/material-components/material-components-android,6,15349,79
MDEwOlJlcG9zaXRvcnk2NjE3OTc2NQ==,dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,7,15339,0
MDEwOlJlcG9zaXRvcnk4NTM3MTI2Mg==,williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,6,15209,0
MDEwOlJlcG9zaXRvcnk1MDE2ODc=,antlr/antlr4,https://github.com/antlr/antlr4,13,15197,30
MDEwOlJlcG9zaXRvcnkxNjg1MDAzOTc=,justauth/JustAuth,https://github.com/justauth/JustAuth,4,15128,44
MDEwOlJlcG9zaXRvcnk1MzQ5NTY1,prestodb/presto,https://github.com/prestodb/presto,11,15042,0
MDEwOlJlcG9zaXRvcnk2NTk4NzA0Mw==,baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,7,15036,25
MDEwOlJlcG9zaXRvcnkxMTI3MTc5NjM=,android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,5,14625,50
MDEwOlJlcG9zaXRvcnkxNjAwNTQxMA==,hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,9,14455,0
MDEwOlJlcG9zaXRvcnkxNzQ3NjU2NDc=,heibaiying/BigData-Notes,https://github.com/heibaiying/BigData-Notes,4,14387,0
MDEwOlJlcG9zaXRvcnk3NTI3NzAwMw==,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,6,14312,55
MDEwOlJlcG9zaXRvcnk3NjQxMzE4Ng==,alibaba/ARouter,https://github.com/alibaba/ARouter,6,14263,16
MDEwOlJlcG9zaXRvcnk2MjA3MTY3,mockito/mockito,https://github.com/mockito/mockito,10,14188,203
MDEwOlJlcG9zaXRvcnkyNzk1NDkyNw==,ben-manes/caffeine,https://github.com/ben-manes/caffeine,8,14179,68
MDEwOlJlcG9zaXRvcnk4ODk3MDU2NA==,Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,6,14172,35
R_kgDOHMKsgg,Grasscutters/Grasscutter,https://github.com/Grasscutters/Grasscutter,1,14168,17
MDEwOlJlcG9zaXRvcnkxMTc5NjU5NzI=,alibaba/DataX,https://github.com/alibaba/DataX,5,14107,6
MDEwOlJlcG9zaXRvcnkxODQ2MTE2Nzc=,YunaiV/yudao-cloud,https://github.com/YunaiV/yudao-cloud,4,13941,5
MDEwOlJlcG9zaXRvcnkyNTIwMTM2MQ==,Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,8,13933,58
MDEwOlJlcG9zaXRvcnkyMzQxODUxNw==,apache/hadoop,https://github.com/apache/hadoop,9,13828,0
MDEwOlJlcG9zaXRvcnkyMzc5NDA1OTI=,dromara/Sa-Token,https://github.com/dromara/Sa-Token,3,13804,29
MDEwOlJlcG9zaXRvcnkxNjM3MjExOTI=,zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,4,13778,0
MDEwOlJlcG9zaXRvcnkxOTExNTIz,eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,12,13758,0
MDEwOlJlcG9zaXRvcnk5MTkxNjE=,arduino/Arduino,https://github.com/arduino/Arduino,12,13720,37
MDEwOlJlcG9zaXRvcnkzMjYxMDMzNg==,orhanobut/logger,https://github.com/orhanobut/logger,8,13646,16
MDEwOlJlcG9zaXRvcnkxMDkwMzEx,elastic/logstash,https://github.com/elastic/logstash,12,13617,120
MDEwOlJlcG9zaXRvcnkzMTg2NTE3Ng==,lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,8,13554,0
MDEwOlJlcG9zaXRvcnk2NDA1NDQ3OA==,Curzibn/Luban,https://github.com/Curzibn/Luban,7,13353,6
MDEwOlJlcG9zaXRvcnkyODU1MDg3Mg==,Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,8,13327,0
MDEwOlJlcG9zaXRvcnkyMTc5NDMzNjE=,doocs/source-code-hunter,https://github.com/doocs/source-code-hunter,3,13310,0
MDEwOlJlcG9zaXRvcnkyMDU3MDIxNA==,google/tink,https://github.com/google/tink,9,13310,21
MDEwOlJlcG9zaXRvcnkxNDczNDg3Ng==,deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,9,13147,0
MDEwOlJlcG9zaXRvcnkzOTEwNTU1OTc=,kunal-kushwaha/DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,2,13135,0
MDEwOlJlcG9zaXRvcnkxNDUwOTgxNDY=,JessYanCoding/AndroidAutoSize,https://github.com/JessYanCoding/AndroidAutoSize,5,13107,14
