id,name_with_owner,url,created_at,updated_at,primary_language,stargazer_count,pull_requests,releases,issues_rate
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,8,0,TypeScript,372587,20471,0,0.9881993776786239
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,9,0,None,297094,5678,0,0.9645464025026069
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,sindresorhus/awesome,https://github.com/sindresorhus/awesome,9,0,None,268017,624,0,0.9244712990936556
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996icu/996.ICU,https://github.com/996icu/996.ICU,4,2,None,267872,1063,0,0
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,7,0,None,264387,372,0,0.8905472636815921
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis/public-apis,https://github.com/public-apis/public-apis,7,0,Python,254875,1871,0,0.9960707269155207
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,6,0,TypeScript,250176,1629,1,0.6323741007194245
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,6,0,Python,228427,196,0,0.28957528957528955
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,5,0,None,215632,121,0,0.7053571428571429
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,facebook/react,https://github.com/facebook/react,10,0,JavaScript,212557,9208,99,0.9124416545952037
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vuejs/vue,https://github.com/vuejs/vue,10,0,TypeScript,205130,1119,245,0.9619657691922731
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,vinta/awesome-python,https://github.com/vinta/awesome-python,9,0,Python,179529,535,0,0
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,7,1,C++,177399,16189,195,0.9499683009298394
MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,5,0,JavaScript,174788,282,0,0.6402439024390244
MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,9,0,None,170949,360,0,0.9123767798466593
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,7,0,Python,167894,2332,0,0.9799537393986122
MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,5,1,None,166620,375,0,0.7777777777777778
MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,twbs/bootstrap,https://github.com/twbs/bootstrap,12,3,JavaScript,165147,8484,87,0.984664103144085
MDEwOlJlcG9zaXRvcnkyOTExMzc=,ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,14,1,Shell,162024,2934,0,0.9558401413115478
MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,torvalds/linux,https://github.com/torvalds/linux,11,0,C,156878,9,0,0
MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==,flutter/flutter,https://github.com/flutter/flutter,8,0,Dart,156424,32979,2,0.8666898429804739
MDEwOlJlcG9zaXRvcnkxMDYyODk3,github/gitignore,https://github.com/github/gitignore,12,0,None,151088,1523,0,0
MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,microsoft/vscode,https://github.com/microsoft/vscode,8,0,TypeScript,150714,19417,109,0.9542642047900803
MDEwOlJlcG9zaXRvcnkxOTQxNTA2NA==,ossu/computer-science,https://github.com/ossu/computer-science,9,0,None,148553,240,0,0.9722675367047309
R_kgDOJKSTjA,Significant-Gravitas/Auto-GPT,https://github.com/Significant-Gravitas/Auto-GPT,0,0,Python,147888,954,18,0.6798969072164949
